,MiceID,Vendor,SCFA,A1,n,K,Ai,R2
21,BI1,Beijing,Propionate,6.539179284344206,7.902433848566525,0.008075240014342715,1.9309333819999999,0.2758057137018345
22,HI2,Hunan,Propionate,12.019256713933586,2.977161636164474,0.8925511559235222,1.140311557,0.7654140184420318
23,BI3,Beijing,Propionate,7.559624672237677,9.9956508947196,7.513004717346398,2.859915669,-1.1005419767431293
24,BI4,Beijing,Propionate,5.058580681499984,7.403356131136925,0.020626124837206966,3.14877291,0.643515740594246
25,GI4,Guangdong,Propionate,7.977863931243093,2.4274752736972243,0.39588607253968455,2.0353146559999997,0.6302501999098824
26,HI5,Hunan,Propionate,7.927519453487018,9.999999999974305,1.026039347257007,3.734325454,0.74717001497454
27,SI3,Shanghai,Propionate,8.991585529683348,0.7213564829104298,30.999999983876602,1.411050874,0.6247652078876955
28,HI1,Hunan,Propionate,6.513651384452214,9.995563827711248,22.088762747011952,3.0444338969999998,-1.56341592532165
29,SI5,Shanghai,Propionate,13.120598857862978,2.7821298753587196,30.999999986882457,2.1700599780000003,0.8445614767804612
30,GI2,Guangdong,Propionate,8.01843486995674,8.53945042325352,0.011929029884274935,1.438977841,0.5495548806450858
31,HI4,Hunan,Propionate,8.789610690103022,9.999999993210162,1.0972873837907238,4.156311869,0.553459277489248
32,SI1,Shanghai,Propionate,9.40620803554175,0.38699136335171486,30.999999985781646,0.7212033059999999,0.694892814201125
33,SI4,Shanghai,Propionate,6.818286768095211,0.43778020692675085,30.999999993241193,2.166153562,0.5354274108495984
34,GI1,Guangdong,Propionate,7.926862305880166,9.999999981562,1.0399908789748995,2.244245835,0.6826399713860057
35,BI2,Beijing,Propionate,4.481565652166648,9.1504924340909,0.015942223475187704,3.621771332,0.22131119493805473
36,SI2,Shanghai,Butyrate,10.19403382652632,9.999999995345227,30.99999999999988,2.653637517,-0.5387851011423841
37,BI5,Beijing,Butyrate,2.8770422696261777,8.15101846931163,0.02903452761588454,1.8351722769999999,0.39459818754702736
38,GI3,Guangdong,Butyrate,4.858432230656114,9.999999997169368,0.8473571148903355,2.3018460590000003,0.3025965625641577
39,BI1,Beijing,Butyrate,5.200508243243785,9.99999970046681,8.434035791425216e-07,1.1095819820000001,-0.47946432622077406
40,HI2,Hunan,Butyrate,4.59261332797161,9.999999999243816,0.8347177455484085,1.142147328,0.3295332395679961
41,BI3,Beijing,Butyrate,2.8117928002810673,8.934934802047838,0.010082983951494843,1.6826557969999998,0.33233091005252546
42,BI4,Beijing,Butyrate,3.2754051692121675,9.25375770136415,3.832930708935756e-09,1.477688466,0.4467697670828583
43,GI4,Guangdong,Butyrate,7.254158618073614,9.999999997951061,0.9911890939306468,1.867931028,0.46517270977889125
44,HI5,Hunan,Butyrate,2.6109208384652405,6.518019804514207,0.888226856765325,3.214560666,0.11610736181627923
45,SI3,Shanghai,Butyrate,5.491025572525689,8.57902761833141,0.020720648402789327,1.2016538829999999,0.1900098481233603
46,HI1,Hunan,Butyrate,3.4878348924537077,7.0419782256945,0.006361578711208637,3.173745722,0.22460629160750278
47,SI5,Shanghai,Butyrate,6.700717443493758,7.917946835700234,0.013856643466211425,1.812848808,0.2548672429365676
