SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Helicobacter_dash_ganmani,Mucispirillum_dash_schaedleri,Oscillospiraceae,Muribaculum,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Roseburia,Colidextribacter,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Oscillibacter,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Dubosiella_dash_newyorkensis,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Parabacteroides,Bacteroides_dash_caecimuris,Lactobacillus,Anaerotruncus,Ruminococcaceae,Bilophila,Desulfovibrio,Gastranaerophilales,mouse_dash_gut_dash_metagenome,Helicobacter_dash_mastomyrinus
sample325,135809900.8258037,67491605.17073107,49616279.78775396,14880428.7181471,11573666.78078108,46557029.97144827,11623169.20499315,5940290.905447946,1366266.908253028,43740342.0337817,24231436.65180641,2618678.240818303,990048.4842413242,0.0,0.0,2752334.786190881,2168206.1804885,0.0,0.0,930645.5751868449,1133605.514456316,108905.3332665457,292064.3028511907,0.0,232661.3937967112,4133452.421707529,0.0,0.0,0.0,44552.18179085959,183158.969584645,0.0,1985047.210903855,2321663.695545905,861342.1812899521,0.0,3346363.876735676,0.0,2390967.089442798,1732584.847422317
sample336,134672995.1375991,91349531.46706867,70332444.83712606,13178035.63957668,21360070.93790274,553733.7020079256,623983.5000238565,7529125.410883884,1541363.215290718,39608489.05780572,8450637.467210507,326454.9437210904,1644671.741784734,66117.45695617022,61985.11589640957,929776.7384461436,1805833.043115399,0.0,0.0,140499.5960318617,1057879.311298724,0.0,1033085.26494016,0.0,144631.9370916224,1954597.321266782,28926.38741832447,0.0,0.0,0.0,855394.5993704521,0.0,3194299.639194974,727292.0265178723,512410.2914103192,0.0,1739715.586159229,0.0,438028.1523346277,2107493.940477926
sample337,145258055.6991646,126619824.3873306,36703602.52894816,17530532.81009706,15961504.49756813,41666700.16373272,7416763.881194911,14876619.00845281,1503124.053844355,8534601.499652518,2694470.268527064,3830051.341245902,2598148.659680377,30417.35016211173,0.0,288964.8265400614,190108.4385131983,0.0,0.0,344729.9685039329,164760.6467114385,76043.37540527932,950542.1925659917,0.0,190108.4385131983,182504.1009726704,17743.45426123184,60834.70032422346,0.0,0.0,456260.252431676,0.0,993633.4386289832,119134.621468271,131808.5173691509,0.0,653973.0284854022,0.0,0.0,539907.9653774833
sample339,122272778.9447934,147348978.8700193,24444896.50160271,28884718.93987009,15865379.48220024,152744380.807432,11573896.09975686,17386717.24076738,227683.20196243,1742121.469561017,6833945.804357179,8558818.546496801,3542888.612354782,0.0,89693.38259126029,362223.2758493204,489863.8587676524,0.0,0.0,13312567.8238336,545059.7865161203,186286.2561510791,148339.0558240074,0.0,548509.5320003995,362223.2758493205,34497.45484279242,72444.65516986408,0.0,10349.23645283773,783092.224931388,0.0,5257412.118041565,524361.3136104449,210434.4745410337,0.0,4529515.820858645,0.0,310477.0935851318,431218.1855349052
sample340,131634735.3760861,86677170.595866,51277436.49420878,26898466.33824151,9970702.95617437,192193670.7095117,17132574.03946492,20094201.16469311,4863440.372493269,30409506.17934627,20347776.26432845,13839348.70702129,1501944.820917039,35760.59097421521,39011.55379005295,2831588.612594678,1531203.486259578,0.0,0.0,1566964.077233794,1004547.510093864,104030.8101068079,412872.2776113938,0.0,864756.1090128405,2395959.595272419,0.0,0.0,0.0,35760.59097421521,588424.269666632,0.0,1466184.229942824,858254.1833811651,1027304.249804728,0.0,2252917.231375558,0.0,269829.913714533,897265.737171218
sample351,178764761.4922813,73104440.16029303,40525337.96065796,41435602.2559008,33665846.3072209,1072811.49082191,515506.8202650737,3622480.358619437,8772904.3556822,7992677.816902629,464420.5587973637,157902.9899911037,1551164.666383195,0.0,0.0,46442.05587973637,130037.7564632618,0.0,0.0,0.0,78951.49499555184,0.0,1017081.023766227,51086.26146771001,120749.3452873146,46442.05587973637,0.0,0.0,0.0,0.0,887043.2673029647,0.0,2591466.718089289,65018.87823163092,106816.7285233937,0.0,199700.8402828664,0.0,130037.7564632618,896331.6784789121
sample352,267526137.3503538,156813050.42172,31099181.72152635,27194797.05833641,17399861.50436324,188727605.6472057,15617538.65275979,30273354.71110599,27477041.73278387,757879.2184237514,5049043.620671337,4411379.726549285,12481486.71445461,0.0,0.0,899001.5556474845,872867.7894949415,0.0,0.0,1761415.838681409,506995.0633593373,0.0,459954.2842847595,0.0,266564.4147559402,533128.8295118804,36587.27261356042,20907.01292203453,0.0,0.0,1986166.22759328,0.0,162029.3501457676,167256.1033762762,167256.1033762762,0.0,2435667.005417022,0.0,83628.0516881381,2372945.966650919
sample354,197395555.9235757,97373962.75812753,17075878.94014403,35923530.75387388,9500714.163643176,251083616.9609119,13906745.57380564,17844761.50792656,1932235.32251434,695337.2786902818,7053661.817483145,13752969.06024913,5937110.610355482,0.0,0.0,4031619.02932923,554932.6358778209,0.0,0.0,3149075.560222333,922659.0813390276,528188.8943897332,127032.7720684168,0.0,340982.7039731189,106974.965952351,0.0,20057.80611606582,0.0,33429.67686010969,989518.4350592471,0.0,220635.867276724,1210154.302335971,173834.3196725704,0.0,3363025.492127035,0.0,147090.5781844827,2126127.448302977
sample355,274846780.959715,141208122.2840216,31000863.62787142,27946518.66310731,20229502.15793037,196771624.8072746,15566830.61751753,36917734.79149657,5134840.810328059,2050985.266194254,24882336.83855331,6625125.068497985,10825464.1987855,0.0,0.0,8528557.43784373,1947698.238400298,0.0,0.0,8774478.932591243,1091891.436678955,378719.1019111691,290187.3638020647,0.0,555782.5781293781,1514876.407644677,0.0,59021.15873940298,0.0,0.0,2060822.125984154,0.0,565619.4379192786,2867444.628755995,486924.5596000745,0.0,4062623.093228905,0.0,201655.6256929602,309861.0833818656
sample366,303732867.5985122,153373048.9869987,39609460.11729935,47966554.62552894,17366615.61841031,1666893.399204638,878701.7240151146,4193632.262252393,114962847.0166384,2383431.285740568,2296692.488949378,260216.3903735747,803276.6833271219,0.0,0.0,64111.28458479376,863616.7158775161,0.0,0.0,56568.7805159945,403523.9676807608,162163.8374791842,520432.7807471494,0.0,188562.6017199817,362040.1953023648,0.0,49026.27644719523,0.0,0.0,1116290.602182292,0.0,3918330.863741219,67882.5366191934,237588.8781671769,0.0,177248.8456167828,0.0,105595.0569631897,1263369.431523877
sample367,79231667.94134751,70031107.1600253,7686260.598245795,7161268.026064256,6794564.671625894,50078751.26349778,3510063.403454961,7373639.393203019,4873988.82967534,164884.6018158099,860038.0830712644,204456.9062516043,2733127.159698865,9233.537701685354,0.0,54082.14939558565,201818.7526225513,0.0,0.0,162246.448186757,118716.9133073831,110802.4524202243,25062.45947600311,0.0,44848.6116939003,183351.6772191806,0.0,17147.99858884423,0.0,0.0,447167.0401244764,0.0,55401.22621011213,85739.99294422116,36934.15080674142,0.0,160927.3713722305,0.0,40891.38125032086,122674.1437509626
sample369,80638153.80724655,66997717.29466362,11617518.52350494,10935695.6734157,3933083.17220737,56459972.70106654,4596334.971905071,6708128.702142553,1192526.735856467,395298.0726198301,4047162.481755375,1205791.771850422,3785841.27267448,0.0,0.0,128670.8491413541,267953.7270778714,0.0,0.0,786616.6344414742,432440.1734029014,175098.4751201932,26530.07198790806,0.0,96834.76275586443,23877.06478911726,5306.014397581613,31836.08638548967,0.0,7959.021596372419,500091.856972067,0.0,33162.58998488507,108773.2951504231,57039.65477400234,0.0,386012.5474240623,0.0,303769.3242615474,256015.1946833128
