SampleID,Acholeplasmataceae,Akkermansiaceae,Alteromonadaceae,Anaerofustaceae,Anaerovoracaceae,Anaplasmataceae,Arcobacteraceae,Atopobiaceae,Bacillaceae,Bacilli,Bacteria,Bacteroidaceae,Bacteroidales,Beijerinckiaceae,Bifidobacteriaceae,Brevinemataceae,Burkholderiaceae,Burkholderiales,Butyricicoccaceae,Candidatus-Gastranaerophilales-bacterium-Zag_111,Caulobacteraceae,Chloroplast,Christensenellaceae,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Deferribacteraceae,Defluviitaleaceae,Dermabacteraceae,Desulfovibrionaceae,Devosiaceae,Eggerthellaceae,Endozoicomonadaceae,Enterobacterales,Enterobacteriaceae,Enterococcaceae,Erysipelatoclostridiaceae,Erysipelotrichaceae,Ethanoligenenaceae,Firmicutes,Flavobacteriaceae,Fusobacteriaceae,Gastranaerophilales,Helicobacteraceae,Lachnospiraceae,Lactobacillaceae,Lactobacillales,Leuconostocaceae,Marinifilaceae,Methylomonadaceae,Micrococcaceae,Monoglobaceae,Moraxellaceae,Morganellaceae,Muribaculaceae,Mycoplasmataceae,Nocardiaceae,Nostocaceae,Oscillospiraceae,Oscillospirales,Oxalobacteraceae,Pasteurellaceae,Peptococcaceae,Peptoniphilus,Peptostreptococcaceae,Planococcaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Pseudomonadaceae,RF39,Rhizobiaceae,Rhodospirillales,Rickettsiaceae,Rikenellaceae,Rubritaleaceae,Ruminiclostridium,Ruminococcaceae,Saccharimonadaceae,Selenomonadaceae,Shewanellaceae,Sphingobacteriaceae,Sphingomonadaceae,Spirosomaceae,Streptococcaceae,Subgroup-2,Sutterellaceae,Tannerellaceae,UCG-010,Vagococcaceae,Veillonellaceae,Vibrionaceae,Victivallaceae,Weeksellaceae,Xanthobacteraceae,Xanthomonadaceae,[Clostridium]-methylpentosum-group,[Eubacterium]-coprostanoligenes-group,gut-metagenome,metagenome
sample172,0,1967482.699,0,0,0,0,0,98913.66403,0,0,0,5010426.691,0,0,956764.8958,0,0,0,30573.31434,751743.8467,0,23379.59332,3596.86051,190633.607,59348.19842,32371.74459,8992.151276,0,0,0,787712.4518,0,0,190633.607,0,17984.30255,0,0,61146.62868,0,50356.04714,89000716.47,0,0,0,0,79130.93123,14387.44204,7031862.298,1061073.851,0,0,467591.8663,0,8992.151276,0,0,0,158465085.1,0,0,0,651031.7524,0,0,0,113301.1061,0,0,0,0,6130848.74,0,0,0,0,170850.8742,0,374073.4931,0,0,273361.3988,35968.6051,0,0,0,10790.58153,0,25178.02357,0,15453911.18,816487.3358,0,0,0,0,0,0,0,0,0,10790.58153,0,0
sample173,0,63721.30336,0,0,0,0,0,17378.53728,0,0,0,180794716.2,0,0,26067.80592,0,0,0,34757.07456,4304084.399,0,0,0,0,86892.68639,0,17378.53728,0,0,8689.268639,49239.18896,0,0,1202015.495,0,0,0,0,147717.5669,0,0,59182608.7,0,0,0,0,269367.3278,8689.268639,16865870.43,23171.38304,0,0,165096.1041,0,0,0,0,0,79686386.27,0,0,14482.1144,819687.675,0,0,0,367845.7057,0,0,0,0,14238814.88,0,0,0,0,0,0,344674.3227,0,0,422877.7405,31860.65168,0,0,0,0,0,20274.96016,0,3774039.012,793619.8691,0,0,0,0,0,0,0,0,0,0,0,0
sample174,0,27103491.67,0,0,37727.57749,0,0,30182.062,0,0,0,9789048.774,0,0,726884.6597,0,0,0,32697.23383,1358192.79,0,40242.74933,25151.71833,1114221.122,115697.9043,5030.343666,27666.89016,0,0,0,11262939.47,0,0,1509103.1,0,0,0,0,52818.60849,0,93061.35782,71974157.17,0,0,0,0,377275.7749,0,14147841.56,296790.2763,0,0,719339.1442,0,0,0,0,7545.515499,242756839.8,0,0,20121.37466,4419156.911,0,0,0,402427.4933,0,0,0,0,2246048.447,0,0,0,0,221335.1213,0,794794.2992,0,0,1260101.088,0,0,0,0,0,0,22636.5465,0,14650875.93,2271200.165,15091.031,0,12575.85916,0,0,0,0,0,0,138334.4508,0,0
sample175,0,20610536.42,0,0,4028.249081,0,0,36254.24173,0,0,8056.498162,24264158.34,0,0,394768.4099,0,0,0,12084.74724,0,0,0,28197.74357,48338.98897,96677.97794,38268.36627,14098.87178,0,0,0,1703949.361,6042.373621,0,1107768.497,0,10070.6227,0,0,0,0,398796.659,77499484.07,0,0,0,24169.49449,0,0,9764475.772,370598.9154,0,0,173214.7105,0,12084.74724,0,0,0,143627221,0,0,0,1208474.724,0,0,0,505545.2597,0,0,0,0,12880326.44,0,0,0,0,10070.6227,0,586110.2413,0,0,342401.1719,44310.73989,0,0,0,0,0,18127.12086,0,14991128.95,1371618.812,0,0,0,0,0,0,0,0,0,38268.36627,0,0
sample176,0,50798.74447,0,0,58700.77139,0,0,6773.16593,0,0,0,4496253.316,0,0,22577.21977,0,0,0,721342.1715,0,0,0,40638.99558,6773.16593,181746.6191,515889.4717,268668.9152,0,5644.304942,0,11311187.1,0,0,7059896.621,0,13546.33186,0,0,53056.46645,0,0,3566071.862,0,0,0,0,29350.3857,5644.304942,48473290.84,1456230.675,0,0,2188861.456,0,0,5644.304942,0,0,25510000.61,0,0,0,15194468.9,0,0,0,290117.274,0,0,0,0,1358019.769,0,0,0,0,30479.24668,0,8064582.9,0,0,5225497.515,44025.57854,0,0,0,4515.443953,0,20319.49779,0,427838.3146,707795.8397,10159.74889,0,0,0,0,0,6773.16593,0,0,74504.82523,0,0
sample177,0,28232.22895,0,0,39090.77854,0,0,0,0,0,0,7407702.534,0,0,16287.82439,0,0,0,407195.6098,28232.22895,0,0,10858.5496,41262.48846,211741.7171,169393.3737,213913.427,0,0,0,915375.7309,0,0,2756985.742,0,13030.25951,0,0,54292.74798,0,0,5799551.339,0,0,9772.694636,0,24974.66407,5429.274798,25189663.35,301867.6788,0,0,1305197.661,0,6515.129757,5429.274798,0,0,27780513.29,0,0,0,5794122.064,0,0,0,154191.4043,0,0,0,0,629795.8766,0,0,0,0,23888.80911,0,7007022.054,0,0,2163023.079,54292.74798,0,0,0,0,0,23888.80911,0,1007673.402,735123.8076,14116.11447,0,0,0,0,0,0,0,0,83610.83189,0,0
sample178,2489.203445,48124.59995,0,0,18254.1586,0,0,0,0,0,0,4971769.015,0,0,11616.28275,9956.813782,0,0,129438.5792,75505.83785,0,0,3318.937927,4148.672409,32359.64479,19083.89308,229006.717,0,0,0,2533179.373,5808.141373,0,224858.0446,0,9127.0793,0,0,31529.91031,4148.672409,3318.937927,9757677.506,0,0,8297.344818,0,73016.6344,0,6615473.024,809820.8543,0,0,1625449.85,0,0,4148.672409,0,0,17513205.71,0,0,0,2212072.129,0,0,0,43975.92754,0,0,0,0,1016424.74,0,0,0,0,66378.75855,0,8657449.583,0,0,1386486.319,0,0,0,0,0,0,15764.95515,0,703614.8406,869561.737,6637.875855,0,0,0,0,0,0,0,0,167606.3653,0,0
sample179,0,124887.5338,0,4257.529562,58186.23735,0,0,0,0,0,0,4828748.112,0,0,21287.64781,8515.059125,0,0,144756.0051,48252.00171,0,0,19158.88303,21997.23607,799705.9695,82312.23821,535739.1366,0,0,0,1124697.393,7805.470864,0,896209.9729,0,0,0,0,20578.05955,0,0,11301612.22,0,0,0,0,28383.53042,0,6526083.231,500259.7236,0,0,1703721.413,0,0,7805.470864,0,0,18913365.49,4967.117823,0,1419.176521,2826999.629,0,0,0,66701.29648,0,0,4257.529562,0,109986.1804,0,0,0,0,69539.64952,0,6604847.528,0,0,1001229.035,63862.94344,0,0,0,0,0,4967.117823,0,1540516.113,351246.1889,0,0,0,0,0,0,0,0,0,106438.2391,0,0
sample180,16233.44899,15278.54023,0,0,67798.52225,1909.817528,0,0,0,0,0,5007541.559,0,0,14323.63146,0,0,0,358090.7866,5729.452585,0,0,21007.99281,44880.71191,338992.6113,658887.0473,558621.627,0,0,0,457401.298,5729.452585,0,2098889.464,0,0,0,0,19098.17528,0,0,964457.8518,0,0,0,0,39151.25933,1909.817528,13073655.89,82122.15372,0,0,4006797.174,0,0,9549.087641,0,2864.726292,20019662.24,4774.543821,0,0,4066956.426,0,0,0,58249.43461,0,0,0,0,140371.5883,0,0,0,0,12413.81393,0,10735084.33,0,0,1830560.101,18143.26652,0,0,0,0,0,0,0,278833.3591,281698.0854,19098.17528,0,0,0,0,0,0,0,0,54429.79956,0,0
sample181,24361.65451,20613.70766,0,0,21550.69437,0,0,14991.78739,0,0,0,2661042.262,35605.49505,0,522838.5852,0,0,0,35605.49505,84328.80407,0,0,5621.920271,16865.76081,83391.81736,412274.1532,31857.5482,0,0,0,500350.9041,0,0,689622.2199,0,12180.82725,0,0,49660.29573,0,0,28073058.87,0,0,9369.867119,0,16865.76081,0,19373137.25,1027874.423,0,0,371983.7246,0,0,0,0,0,49593769.67,6558.906983,0,0,2834384.803,0,0,0,70274.00339,0,16865.76081,0,0,490044.0503,0,0,0,0,267041.2129,0,2044505.005,0,0,290465.8807,15928.7741,0,0,0,0,0,10306.85383,0,3468724.807,755211.2898,23424.6678,7495.893695,0,0,0,0,0,0,0,5621.920271,0,0
