SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Oscillospiraceae,Helicobacter_dash_ganmani,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Colidextribacter,Escherichia_dash_Shigella,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillibacter,Roseburia,Alistipes,Rikenellaceae_dash_RC9_dash_gut_dash_group,Dubosiella_dash_newyorkensis,Bacteroides_dash_caecimuris,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Parabacteroides,Lactobacillus,Ruminococcaceae,Bilophila,Gastranaerophilales,Anaerotruncus,mouse_dash_gut_dash_metagenome,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Desulfovibrio,Bifidobacterium_dash_choerinum
sample175,141721859.1643604,20610536.42244468,22963033.88569254,76802596.9765133,14666854.90357101,34240.11718768295,682788.219213207,12860185.19078562,96677.97794169303,525686.5050579559,4503582.472450534,100706.2270225969,545827.7504624752,1703949.36122234,300104.5565273388,0.0,181271.2086406744,1871121.698079851,491446.3878702729,0.0,962751.5303360265,38268.36626858683,0.0,416923.7798735512,255793.8166373961,449149.7725207822,104734.4761035008,696887.0909963707,424980.278035359,189327.7068024822,336358.7982554737,370598.9154431567,70494.35891581784,561940.7467860908,0.0,223567.8239901651,1158121.610759865,14098.87178316357,0.0,394768.4099285799
sample186,204296806.0441246,7328876.152286652,751422.708710183,41739026.7264883,11787317.5573004,0.0,0.0,26765676.88425672,3000681.350115998,1137153.032514744,4688877.702351542,105199.1792194256,220417.3278883204,26941008.84962243,1001896.944946911,30056.90834840732,240455.2667872586,1743300.684207625,1653129.959162403,90170.72504522196,3702009.211578835,25047.42362367277,0.0,796508.071232794,1507854.902145101,345654.4460066842,115218.1486688947,631195.0753165537,170322.4806409748,4894266.576065659,220417.3278883203,1092067.669992133,611157.1364176155,671270.9531144302,85161.24032048741,736394.2545359795,345654.4460066842,30056.90834840732,0.0,1643110.989712934
sample187,175617507.3120857,863797.9423468843,2315235.377071017,48241027.83597487,16858510.02721614,205513.2650936825,542683.4656380053,14646031.28269196,80278.61917721972,9755457.80241574,15747453.93780342,93123.19824557487,250469.2918329255,7677847.138109295,2292757.363701395,0.0,305058.752873435,1856041.67537732,1428959.421354511,86700.9087113973,1730807.029460857,57800.6058075982,0.0,2588182.682273563,452771.4121595192,497727.4388987623,89912.05347848608,658284.6772532017,401393.0958860986,346803.6348455892,244047.0022987479,944076.5615241039,404604.2406531874,606906.3609797811,28900.3029037991,1088578.076043099,2225323.323592531,44956.02673924304,0.0,1066100.062673478
sample188,149128421.9246854,6410127.640325063,9542315.299379488,77540235.41902263,23561309.06682822,0.0,294479.1816205017,7079398.507644384,591932.9004290893,553263.916983973,4732488.666244629,65439.81813788928,154675.9337804655,252835.6609872994,202268.5287898396,17847.22312851526,226064.8262945266,2290393.634826124,139803.2478400362,62465.2809498034,1752002.403782581,20821.76031660113,0.0,211192.1403540972,56516.20657363164,374791.6856988204,38668.98344511638,823946.8010997876,220115.7519183548,205243.0659779254,208217.6031660113,1121400.519908375,68414.35532597515,240937.512234956,44618.05782128814,193344.9172255819,487824.0988460836,26770.83469277288,11898.1487523435,1656817.213763833
sample190,167256867.7635484,17653286.75301318,1345151.271593236,71120861.37486665,21446554.98093337,40850.58091606357,259692.9786806898,14356061.29335948,1540650.480262969,1032936.117449036,4671555.717615554,49604.27682664862,233431.8909489347,916220.1719745685,323886.7486916468,14589.49318430842,207170.8032171795,1957909.98533419,566072.3355511666,81701.16183212714,3352665.533754074,0.0,0.0,350147.836423402,177991.8168485627,405587.910523774,102126.4522901589,1520225.189804937,373491.0255182955,248021.3841332431,399752.1132500506,615676.6123778152,110880.148200744,446438.4914398375,131305.4386587757,233431.8909489347,452274.2887135609,0.0,0.0,1998760.566250253
sample201,137016658.1504475,2224874.962201544,1531115.351126257,19375096.9686587,18767841.04973744,185117.9012096153,432518.4607701291,2856351.914925933,12164149.19069911,541513.1128842017,2366741.017334146,60552.58450781807,60552.58450781807,520752.2267672354,164357.0150926491,5190.221529241549,117645.0213294751,1155689.327177785,256050.9287759165,43251.84607701291,7605404.614181952,31141.3291754493,0.0,193768.2704250179,299302.7748529293,916939.1368326739,181657.7535234542,1823497.830606864,110724.725957153,2138371.270047518,349474.9163022643,702409.9802906897,133215.6859171998,147056.2766618439,2454974.783331253,129755.5382310387,230099.8211297087,20760.88611696619,0.0,2081278.833225861
sample202,142401328.8162226,2517897.89186802,2040598.751966715,15832031.79437812,18044612.82752385,90822.1035439731,1453153.65670357,17947993.56843452,16400153.0378234,2075381.685238875,5511162.538455559,61836.32581717319,139131.7330886397,1068609.005528024,888897.1836218644,7729.540727146648,255074.8439958394,1111121.479527331,705320.5913521318,63768.71099895985,3905350.452390844,83092.56281682647,0.0,685996.739534265,409665.6585387723,743968.2949878647,210629.9848147461,1750740.974698716,170049.8959972263,519811.6139006121,173914.6663607996,374882.7252666124,309181.6290858659,805804.620805038,139131.7330886397,326573.0957219459,991313.5982565576,27053.39254501327,0.0,2597125.684321274
sample203,36104214.45755277,1265993.349236708,2055198.145622445,28916463.73957343,42491874.79574796,26125.40015621753,306973.4518355559,14751054.06320432,321124.710253507,268873.9099410721,8634444.751629889,57693.59201164703,74021.96710928298,33745.3085351143,228597.2513669034,10885.58339842397,155663.8425974628,2283795.396989349,278670.9349996536,45719.45027338067,1294295.86607261,51162.24197259265,0.0,205737.526230213,77287.64212881017,729334.0876944057,784850.5630263682,371198.3938862573,104501.6006248701,140424.0258396692,343984.4353901974,2821543.216871493,74021.967109283,170903.6593552563,31568.19185542951,116475.7423631365,107767.2756443973,14151.25841795116,0.0,696677.337499134
sample205,141675875.2229587,966967.5185285421,903246.4299928887,15165619.07148554,23618221.46573997,57348.97968208817,506582.6538584455,12914671.61896358,8372951.033584873,858641.6680179313,1835167.349826821,89209.52394991492,121070.0682177417,406221.9394147912,143372.4492052204,17523.29934730472,176826.0206864385,939886.0559008894,246919.2180756574,39825.68033478345,8530660.727710616,15930.27213391338,0.0,374361.3951469644,125849.1498579157,520919.8987789675,47790.81640174014,1701353.063901949,100360.7144436543,248512.2452890487,802885.7155492343,511361.7354986195,170453.9118328732,266035.5446363534,363210.204653225,111511.9049373937,460384.8646700967,0.0,0.0,1962609.526898128
sample216,154480291.0753072,4995155.283584962,2135753.315878907,17605117.96116867,31633783.9227296,90181.13898149865,6781181.743413668,17387363.50362797,10439016.72210226,2709833.249395276,10494005.22148122,162765.9581617293,470701.5546839198,18396952.35222572,3418085.121396315,0.0,640066.1327711246,1645255.901418561,2263326.6344381,37392.17957769456,11743343.92737125,147369.1783356198,0.0,1865209.898934411,1678249.001045938,1060178.268026399,527889.5940380408,3699626.238216603,162765.9581617293,2951782.646662712,252947.0971432279,173763.6580375218,851221.970386341,2474482.472053317,292538.816696081,560882.6936654184,2714232.329345594,387119.0356278967,0.0,1528680.28273516
