SampleID,Muribaculaceae,Bacteroides_dash_acidifaciens,Akkermansia_dash_muciniphila,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Helicobacter_dash_ganmani,Oscillospiraceae,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Roseburia,Lachnoclostridium,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Rikenellaceae_dash_RC9_dash_gut_dash_group,Colidextribacter,Clostridia_dash_vadinBB60_dash_group,Oscillibacter,Alistipes,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Parabacteroides,Dubosiella_dash_newyorkensis,Lactobacillus,Gastranaerophilales,Anaerotruncus,Desulfovibrio,Ruminococcaceae,Helicobacter_dash_mastomyrinus,Peptococcaceae,mouse_dash_gut_dash_metagenome,Bifidobacterium_dash_choerinum
sample188,149128421.9246854,9542315.299379488,6410127.640325063,77540235.41902263,23561309.06682822,0.0,294479.1816205017,7079398.507644384,591932.9004290893,553263.916983973,4732488.666244629,62465.2809498034,65439.81813788928,154675.9337804655,252835.6609872994,17847.22312851526,202268.5287898396,226064.8262945266,2290393.634826124,56516.20657363164,1752002.403782581,205243.0659779254,26770.83469277288,38668.98344511638,139803.2478400362,20821.76031660113,211192.1403540972,374791.6856988204,0.0,208217.6031660113,823946.8010997876,1121400.519908375,44618.05782128814,193344.9172255819,11898.1487523435,68414.35532597515,0.0,145752.3222162079,487824.0988460836,1656817.213763833
sample189,189917904.1219087,2284191.971989704,910263.3014155733,66102183.11967216,15667907.07561556,51202.310704626,824926.1169078633,5606653.022156548,3282637.030729912,756656.3693016954,4568383.943979409,71114.32042309166,139384.0680292597,290146.427326214,5495714.682296525,0.0,2838883.67128982,236099.5438046643,1996890.117480414,1857506.049451154,1561670.476491093,295835.5729600613,0.0,62580.60197232067,978533.0490217413,79648.03887386266,631495.165357054,1302814.350151039,0.0,625806.0197232066,910263.3014155733,711143.2042309167,133694.9223954123,841993.5538094053,0.0,341348.7380308401,0.0,14222.86408461833,341348.7380308401,989911.340289436
sample190,167256867.7635484,1345151.271593236,17653286.75301318,71120861.37486665,21446554.98093337,40850.58091606357,259692.9786806898,14356061.29335948,1540650.480262969,1032936.117449036,4671555.717615554,81701.16183212714,49604.27682664862,233431.8909489347,916220.1719745685,14589.49318430842,323886.7486916468,207170.8032171795,1957909.98533419,177991.8168485627,3352665.533754074,248021.3841332431,0.0,102126.4522901589,566072.3355511666,0.0,350147.836423402,405587.910523774,0.0,399752.1132500506,1520225.189804937,615676.6123778152,131305.4386587757,233431.8909489347,0.0,110880.148200744,0.0,32096.88500547852,452274.2887135609,1998760.566250253
sample201,137016658.1504475,1531115.351126257,2224874.962201544,19375096.9686587,18767841.04973744,185117.9012096153,432518.4607701291,2856351.914925933,12164149.19069911,541513.1128842017,2366741.017334146,43251.84607701291,60552.58450781807,60552.58450781807,520752.2267672354,5190.221529241549,164357.0150926491,117645.0213294751,1155689.327177785,299302.7748529293,7605404.614181952,2138371.270047518,20760.88611696619,181657.7535234542,256050.9287759165,31141.3291754493,193768.2704250179,916939.1368326739,0.0,349474.9163022643,1823497.830606864,702409.9802906897,2454974.783331253,129755.5382310387,0.0,133215.6859171998,0.0,342554.6209299422,230099.8211297087,2081278.833225861
sample203,36104214.45755277,2055198.145622445,1265993.349236708,28916463.73957343,42491874.79574796,26125.40015621753,306973.4518355559,14751054.06320432,321124.710253507,268873.9099410721,8634444.751629889,45719.45027338067,57693.59201164703,74021.96710928298,33745.3085351143,10885.58339842397,228597.2513669034,155663.8425974628,2283795.396989349,77287.64212881017,1294295.86607261,140424.0258396692,14151.25841795116,784850.5630263682,278670.9349996536,51162.24197259265,205737.526230213,729334.0876944057,0.0,343984.4353901974,371198.3938862573,2821543.216871493,31568.19185542951,116475.7423631365,0.0,74021.967109283,0.0,250368.4181637513,107767.2756443973,696677.337499134
sample205,141675875.2229587,903246.4299928887,966967.5185285421,15165619.07148554,23618221.46573997,57348.97968208817,506582.6538584455,12914671.61896358,8372951.033584873,858641.6680179313,1835167.349826821,39825.68033478345,89209.52394991492,121070.0682177417,406221.9394147912,17523.29934730472,143372.4492052204,176826.0206864385,939886.0559008894,125849.1498579157,8530660.727710616,248512.2452890487,0.0,47790.81640174014,246919.2180756574,15930.27213391338,374361.3951469644,520919.8987789675,0.0,802885.7155492343,1701353.063901949,511361.7354986195,363210.204653225,111511.9049373937,0.0,170453.9118328732,0.0,423745.2387620959,460384.8646700967,1962609.526898128
sample216,154480291.0753072,2135753.315878907,4995155.283584962,17605117.96116867,31633783.9227296,90181.13898149865,6781181.743413668,17387363.50362797,10439016.72210226,2709833.249395276,10494005.22148122,37392.17957769456,162765.9581617293,470701.5546839198,18396952.35222572,0.0,3418085.121396315,640066.1327711246,1645255.901418561,1678249.001045938,11743343.92737125,2951782.646662712,387119.0356278967,527889.5940380408,2263326.6344381,147369.1783356198,1865209.898934411,1060178.268026399,0.0,252947.0971432279,3699626.238216603,173763.6580375218,292538.816696081,560882.6936654184,0.0,851221.970386341,0.0,2232533.074785881,2714232.329345594,1528680.28273516
sample218,78472063.44359718,1831006.441455121,3540196.953677632,22515853.55888126,55541784.55846066,13814.17754184248,1710446.346544496,6498942.616275894,4455700.174405192,286330.225412735,5284550.82691574,41442.53262552743,106745.9173687828,57768.37881134127,522427.0779460428,5023.33728794272,223538.509313451,173305.1364340238,1784540.571541651,59024.21313332696,696988.0487020523,105490.0830467971,141909.2783843818,1993009.068991274,475961.2080325727,91675.90550495464,185863.4796538806,1416581.115199847,0.0,528706.2495559712,3783828.812142853,329028.5923602481,501077.8944722863,85396.73389502623,0.0,193398.4855857947,0.0,498566.225828315,216003.503381537,818803.9779346633
sample219,176992715.9389987,2902523.175685234,4852109.525618388,19131591.01242325,32131747.52520622,198164.2328781084,13451854.39654924,29969426.04291863,16319407.41349128,486668.0425094719,1419205.608994687,110738.8360201194,125309.7354964509,75768.67727692377,489582.2224047382,8742.539685798896,221477.6720402387,212735.1323544398,1678567.619673388,195250.0529828421,4111907.832220748,101996.2963343205,166108.254030179,571179.2594721946,332216.5080603581,11656.7195810652,279761.2699455647,1261839.894650308,0.0,405071.0054420156,4176019.789916607,96167.93654378787,241876.9313071028,81597.03706745639,0.0,78682.85717219008,0.0,238962.7514118365,984992.8046000091,2479967.090871621
sample220,240680485.0270046,3347660.967444288,8040643.632085815,21260949.61255376,39803445.56307071,121669.9209351507,3608382.22659104,27188012.90382324,32447629.77167704,511013.6679276328,1546946.137604058,163385.3223986309,135575.0547563107,86907.08638225048,1261890.894270277,0.0,170337.8893092109,253768.6922361714,1178460.091343316,83430.80292696046,1734665.44418972,483203.4002853126,225958.4245938512,173814.172764501,389343.7469924822,139051.3382116008,215529.5742279812,1320987.713010208,0.0,312865.5109761017,4122872.177973963,163385.3223986309,93859.65329283051,187719.306585661,0.0,208577.0073174011,0.0,159909.0389433409,2589831.174191064,1957147.585328281
