,l1,l2,l3,l4,mse
17103,0.5994842503189409,0.0774263682681127,2.06913808111479,1.8329807108324375e-05,0.0014845506599224902
16712,0.5994842503189409,0.027825594022071243,2.06913808111479,0.11288378916846883,0.00148458152513462
17921,0.5994842503189409,0.5994842503189409,5.455594781168514,2.6366508987303555e-06,0.0014846411670424897
19120,0.5994842503189409,12.915496650148826,5.455594781168514,1e-06,0.0014846922912608246
17102,0.5994842503189409,0.0774263682681127,2.06913808111479,6.951927961775606e-06,0.0014847044098434308
18472,0.5994842503189409,4.6415888336127775,1.8329807108324375e-05,0.11288378916846883,0.0014847075529637447
19493,0.5994842503189409,35.93813663804626,0.7847599703514607,0.2976351441631313,0.00148471266315571
18568,0.5994842503189409,4.6415888336127775,0.002335721469090121,0.002335721469090121,0.0014847203952047402
17110,0.5994842503189409,0.0774263682681127,2.06913808111479,0.01623776739188721,0.0014847267638592326
18112,0.5994842503189409,1.6681005372000592,0.00012742749857031334,0.11288378916846883,0.0014847515605651658
18289,0.5994842503189409,1.6681005372000592,0.7847599703514607,0.00615848211066026,0.0014847859038626947
19272,0.5994842503189409,35.93813663804626,1.8329807108324375e-05,0.11288378916846883,0.0014848419444985941
18709,0.5994842503189409,4.6415888336127775,2.06913808111479,0.00615848211066026,0.0014848490174591347
17485,0.5994842503189409,0.21544346900318834,0.7847599703514607,0.00012742749857031334,0.0014848578063578414
19072,0.5994842503189409,12.915496650148826,0.2976351441631313,0.11288378916846883,0.0014848649003141835
17043,0.5994842503189409,0.0774263682681127,0.11288378916846883,1.8329807108324375e-05,0.0014848688268067028
14711,0.21544346900318834,4.6415888336127775,2.06913808111479,0.04281332398719396,0.0014848692290439563
16573,0.5994842503189409,0.027825594022071243,0.002335721469090121,0.2976351441631313,0.0014849276522627061
16973,0.5994842503189409,0.0774263682681127,0.002335721469090121,0.2976351441631313,0.0014849362559894086
19485,0.5994842503189409,35.93813663804626,0.7847599703514607,0.00012742749857031334,0.0014849404852332144
17113,0.5994842503189409,0.0774263682681127,2.06913808111479,0.2976351441631313,0.001484954678320794
16072,0.5994842503189409,0.01,1.8329807108324375e-05,0.11288378916846883,0.0014849835064830671
17911,0.5994842503189409,0.5994842503189409,2.06913808111479,0.04281332398719396,0.0014850742824664511
18151,0.5994842503189409,1.6681005372000592,0.0008858667904100823,0.04281332398719396,0.0014850984635496306
19101,0.5994842503189409,12.915496650148826,2.06913808111479,2.6366508987303555e-06,0.0014851229665123675
19392,0.5994842503189409,35.93813663804626,0.00615848211066026,0.11288378916846883,0.0014851251284559613
16690,0.5994842503189409,0.027825594022071243,0.7847599703514607,0.01623776739188721,0.0014851338187396824
