SampleID,Muribaculaceae,Faecalibaculum,Parasutterella,Bacteroides_dash_acidifaciens,Bacteroides,Akkermansia_dash_muciniphila,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Desulfovibrionaceae,Parabacteroides_dash_goldsteinii,Helicobacter_dash_ganmani,Mucispirillum_dash_schaedleri,Oscillospiraceae,Muribaculum,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Colidextribacter,Lachnoclostridium,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Clostridia_dash_vadinBB60_dash_group,Dubosiella_dash_newyorkensis,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Oscillibacter,Bacteroides_dash_caecimuris,Roseburia,Bilophila,Parabacteroides,Gastranaerophilales,Ruminococcaceae,Anaerotruncus,Bacteroides_dash_uniformis,Bifidobacterium_dash_choerinum,mouse_dash_gut_dash_metagenome,Odoribacter,Peptococcaceae,Lachnospiraceae_dash_UCG_dash_006
sample219,176992715.9389987,19131591.01242325,32131747.52520622,2902523.175685234,13451854.39654924,4852109.525618388,29969426.04291863,16319407.41349128,486668.0425094719,1419205.608994687,75768.67727692377,125309.7354964509,8742.539685798896,489582.2224047382,221477.6720402387,1678567.619673388,212735.1323544398,0.0,332216.5080603581,4111907.832220748,571179.2594721946,1261839.894650308,101996.2963343205,11656.7195810652,4176019.789916607,166108.254030179,279761.2699455647,163194.0741349127,195250.0529828421,206906.7725639073,405071.0054420156,241876.9313071028,78682.85717219008,81597.03706745639,198164.2328781084,2479967.090871621,984992.8046000091,145708.994763315,238962.7514118365,413813.5451278145
sample220,240680485.0270046,21260949.61255376,39803445.56307071,3347660.967444288,3608382.22659104,8040643.632085815,27188012.90382324,32447629.77167704,511013.6679276328,1546946.137604058,86907.08638225048,135575.0547563107,0.0,1261890.894270277,170337.8893092109,1178460.091343316,253768.6922361714,0.0,389343.7469924822,1734665.44418972,173814.172764501,1320987.713010208,483203.4002853126,139051.3382116008,4122872.177973963,225958.4245938512,215529.5742279812,246816.1253255914,83430.80292696046,354580.912439582,312865.5109761017,93859.65329283051,208577.0073174011,187719.306585661,121669.9209351507,1957147.585328281,2589831.174191064,267673.8260573315,159909.0389433409,288531.5267890716
sample231,164395217.0042894,9482735.09982453,25542205.83339833,753149.781877559,1186500.579450185,6560513.946139599,16080327.18907195,3418141.317751999,1211991.80283681,3744892.453889647,347607.5916357965,90377.97382530708,0.0,1703277.199015403,2078693.397982063,1040505.390963151,271133.9214759212,0.0,1587408.00180347,3580358.193848704,885240.6666991618,739245.4782121272,282720.8411971145,234055.778368103,12977350.0877364,208564.5549814779,920001.4258627414,78791.05410411386,790227.9249853775,1406652.054152857,192342.8673718074,398590.0384090467,655819.656219536,403224.806297524,0.0,6741269.893790213,829623.4520374343,303577.2966952623,644232.7364983428,342972.8237473192
sample232,207000758.8731672,5899764.559367124,21815247.07069514,1045762.18856233,647817.2849501156,229049.6828930766,15542987.5724817,3553740.534583491,1191521.077676105,4085876.161506801,254499.647658974,76349.8942976922,9254.532642144508,5929841.790454093,1992038.151221605,881494.2341642644,279949.6124248714,0.0,2116974.341890556,879180.6010037283,886121.5004853366,465040.2652677616,145758.889113776,71722.62797661994,8854274.105371758,175836.1202007457,1179952.911873425,50899.9295317948,2406178.486957572,2022115.382308575,185090.6528428902,85604.4269398367,594603.7222577847,853730.636237831,39331.76372911416,2288183.19577023,1698206.739833517,273008.7129432629,814398.8725087167,210540.6176087876
sample233,197277016.9114945,11875809.86329094,32125588.21992806,1233477.836042296,1253337.049860508,454555.3385057476,12328158.62248356,6875701.139727716,4602924.447198978,18369772.78184635,260376.3589498943,72817.11733344501,13239.47587880818,3925504.598066627,2519913.575599824,1659347.643477292,615635.6283645806,0.0,2383105.658185473,3109070.252206788,661973.7939404092,902490.939072091,611222.4697383111,174319.7657376411,1282022.580931259,278028.9934549718,1125355.449698695,50751.32420209804,225071.0899397391,1220238.360163487,218451.352000335,262582.938263029,1052538.33236525,81643.43458598379,19859.21381821228,4289590.184733851,428076.3867481312,1632868.691719676,1394558.125901128,432489.5453744007
sample234,322536393.1115454,5972034.850679555,13646378.70085188,1148826.018783372,12423134.80230926,1018594.72920469,22799777.91123924,8037131.013998653,1841842.524041358,5697618.919067332,399996.1037059515,106975.7021539172,0.0,5330180.637756051,3199968.829647612,916270.1445357262,381391.6337661398,0.0,1986027.166074899,5083671.411053546,572087.4506492097,451158.3960404336,246509.226702505,18604.4699398117,4451119.433099948,251160.3441874579,776736.6199871383,130231.2895786819,497669.5708899628,2111607.338168628,339531.5764015634,97673.4671840114,702318.7402278916,376740.5162811868,153486.8770034465,2920901.780550437,502320.6883749157,116277.9371238231,1320917.36572663,897665.6745959144
sample235,135995005.1960312,7271932.679744982,17323596.79744452,1076964.012610664,3070802.792714192,2810455.636512515,14919023.9945135,1251606.825466448,1015515.61549474,4400028.646116544,278134.8501036551,87321.40642789172,17787.69390197794,7596962.359226578,1392291.313600273,729295.4499810956,357370.9411215569,0.0,1980902.275447544,2411041.05525901,295922.544005633,585376.8356832741,163323.3712817975,124513.8573138456,7606664.737718567,160089.2451178015,692102.9990951417,53363.08170593382,842489.8657209552,1395525.439764269,181111.0651837754,46894.82937794185,456011.7891234345,522311.3754853523,35575.38780395588,2162013.340631319,6788430.818227582,185962.2544297694,612866.90807724,480267.7353534044
sample246,162899028.3471496,25926234.32233177,26057334.72256675,2023014.796729462,1231891.691863192,3752183.86879431,11738006.52448726,3322717.040438335,153703.9175168753,395561.5524331351,54248.44147654425,63289.84838930162,0.0,144662.510604118,103976.1794967098,825028.3807891104,97195.12431214178,0.0,155964.2692450647,617076.0217956908,666803.7598158563,712010.794379643,110757.2346812778,0.0,4446111.849348439,133360.7519631713,79112.31048662702,92674.42085576308,162745.3244296327,63289.84838930162,185348.8417115262,79112.31048662702,108496.8829530885,67810.5518456803,83633.0139430057,4821330.236227869,472413.5111915728,72331.25530205898,47467.38629197621,113017.5864094672
sample247,180649406.7157716,26708583.1386451,38935516.44471205,1179033.244452548,1826552.39659375,13298398.22231362,27090345.24463063,7356829.97611894,649628.3350472,1174814.878640553,90694.86495788829,80148.95042790129,25310.19487196883,124441.7914538467,495657.9829093896,1581887.179498052,164516.2666677974,0.0,651737.5179531974,689702.8102611506,748759.9316290779,894293.5521428986,94913.23076988311,124441.7914538467,9322588.444508519,137096.8888898312,221464.2051297273,27419.37777796623,426054.9470114753,523077.3606873558,111786.6940178623,134987.7059838338,318486.6188056078,210918.2905997402,145533.6205138208,1965758.468389579,881638.4547069143,168734.6324797922,189826.4615397662,153970.3521378104
sample248,292412651.3806738,53790761.05548268,40575684.23286043,3344366.834552693,1027010.287776024,2273467.218239232,18099959.08883898,904120.1678712004,1285957.326146902,8672531.318997534,364281.4268607264,105334.3884898486,39500.39568369323,860230.8393337635,2567525.71944006,2839639.556372168,574950.2038404235,0.0,1422014.244612956,2958140.743423248,1141122.54197336,1953075.119915943,438893.2853743692,127279.0527585671,13337966.94252708,250169.1726633904,1237679.064755721,61445.05995241168,373059.2925682138,1501015.035980342,57056.12709866799,74611.85851364274,557394.4724254488,184335.179857235,0.0,7316351.067190734,548616.6067179614,1584404.760201473,842675.1079187887,746118.5851364275
