,PerturbationType,SCFA,Permutation,PredictionType,SampleID,Day,ObservedValue,PredictedValue
259,intrapolation,Propionate,A,test,sample246,25,4.730903197,7.946310934930801
260,intrapolation,Propionate,A,test,sample471,8,10.5847222,10.509320109306193
261,intrapolation,Propionate,A,test,sample367,19,9.859726967,9.487844297867271
262,intrapolation,Propionate,A,test,sample352,13,13.89801739,10.158595704754115
263,intrapolation,Propionate,A,test,sample128,31,5.995238895,7.930091008707698
264,intrapolation,Propionate,A,test,sample171,3,15.70081177,9.20714254389648
265,intrapolation,Propionate,A,test,sample63,5,4.10477808,4.681786888522795
266,intrapolation,Propionate,A,test,sample397,31,14.24935595,9.310787412408356
267,intrapolation,Propionate,A,test,sample426,1,5.44007522,10.763420927366441
268,intrapolation,Butyrate,A,train,sample428,1,6.381625597999999,6.96982403364452
269,intrapolation,Butyrate,A,train,sample533,31,4.825314218,5.538399490328452
270,intrapolation,Butyrate,A,train,sample504,19,9.122761807,8.781343647281716
271,intrapolation,Butyrate,A,train,sample232,19,3.225958432,3.762665796135935
272,intrapolation,Butyrate,A,train,sample306,3,9.072705386,8.052926825798666
273,intrapolation,Butyrate,A,train,sample114,25,2.063559773,2.8657374249663916
274,intrapolation,Butyrate,A,train,sample384,25,3.3519746180000003,4.131682081013515
275,intrapolation,Butyrate,A,train,sample442,3,8.757371269,8.21750934236473
276,intrapolation,Butyrate,A,train,sample444,3,10.06369716,9.22235674583658
277,intrapolation,Butyrate,A,train,sample129,31,5.894335935,6.1657924622396
278,intrapolation,Butyrate,A,train,sample235,19,2.648912218,3.3355744003761654
279,intrapolation,Butyrate,A,train,sample189,5,5.142657647,5.286538744587707
280,intrapolation,Butyrate,A,train,sample263,31,5.0900173330000005,5.0604115854616545
281,intrapolation,Butyrate,A,train,sample111,25,3.442438075,3.7274547690797317
282,intrapolation,Butyrate,A,train,sample233,19,5.569833505,5.132217203479501
283,intrapolation,Butyrate,A,train,sample100,19,2.590949642,3.1281601109578943
284,intrapolation,Butyrate,A,train,sample190,5,4.6013463969999995,4.71811951747671
285,intrapolation,Butyrate,A,train,sample203,8,3.751975269,4.1244103144432565
286,intrapolation,Butyrate,A,train,sample234,19,5.998275642,5.541392345066617
287,intrapolation,Butyrate,A,train,sample50,2,10.2554727,10.665291643898428
288,intrapolation,Butyrate,A,train,sample534,31,5.0348242789999995,5.173039169733203
289,intrapolation,Butyrate,A,train,sample49,2,15.7306684,14.132141937592746
290,intrapolation,Butyrate,A,train,sample474,8,7.849190696,7.884910769650855
291,intrapolation,Butyrate,A,train,sample340,8,4.310137671000001,5.537520287015088
292,intrapolation,Butyrate,A,train,sample173,3,4.048509558,4.749185429314968
293,intrapolation,Butyrate,A,train,sample217,13,8.44747269,6.847972050366211
294,intrapolation,Butyrate,A,train,sample188,5,3.19141797,3.7868957830287377
295,intrapolation,Butyrate,A,train,sample295,1,5.000743485,5.369482390660595
296,intrapolation,Butyrate,A,train,sample248,25,3.324433177,3.897789114198365
297,intrapolation,Butyrate,A,train,sample489,13,13.97724837,11.602638770843454
298,intrapolation,Butyrate,A,train,sample355,13,9.341487628,8.455545239726138
299,intrapolation,Butyrate,A,train,sample187,5,6.645948359,6.016961029705423
300,intrapolation,Butyrate,A,train,sample46,2,11.32892535,10.466143097129235
301,intrapolation,Butyrate,A,train,sample77,10,8.528681717000001,9.491717208086637
302,intrapolation,Butyrate,A,train,sample294,1,3.9002279260000003,4.610544980581972
303,intrapolation,Butyrate,A,train,sample130,31,7.735202069,6.854357030289254
304,intrapolation,Butyrate,A,train,sample85,13,11.00638573,10.056215568002461
305,intrapolation,Butyrate,A,train,sample115,25,2.6081224659999998,3.3205902343494316
306,intrapolation,Butyrate,A,train,sample443,3,9.791194224,8.925478240036606
307,intrapolation,Butyrate,A,train,sample220,13,4.099376854,4.219109930083238
308,intrapolation,Butyrate,A,train,sample400,31,4.697535726,4.935614640610456
309,intrapolation,Butyrate,A,train,sample429,1,5.655343536,6.59797314716757
310,intrapolation,Butyrate,A,train,sample325,5,10.06466728,8.4951481490319
311,intrapolation,Butyrate,A,train,sample503,19,6.279291985,6.894440686928932
312,intrapolation,Butyrate,A,train,sample79,10,11.52965378,11.163203868193936
313,intrapolation,Butyrate,A,train,sample99,19,3.497492828,3.820045237476603
314,intrapolation,Butyrate,A,train,sample381,25,9.514843246,8.015743017310033
315,intrapolation,Butyrate,A,train,sample457,5,8.272462781,8.54554672208507
316,intrapolation,Butyrate,A,train,sample310,3,5.606267836000001,5.807786091846564
317,intrapolation,Butyrate,A,train,sample218,13,3.64445568,3.884343329586724
318,intrapolation,Butyrate,A,train,sample64,5,13.08056671,12.243244606754288
319,intrapolation,Butyrate,A,train,sample321,5,3.651177961,5.174445972921172
320,intrapolation,Butyrate,A,train,sample81,13,10.532009599999999,10.493281489039292
321,intrapolation,Butyrate,A,train,sample264,31,4.051144381,4.365957994002434
322,intrapolation,Butyrate,A,train,sample324,5,6.238966702000001,6.441743269709894
323,intrapolation,Butyrate,A,train,sample61,5,8.123417611,9.34276342105141
324,intrapolation,Butyrate,A,train,sample309,3,9.63654257,8.219991936111708
325,intrapolation,Butyrate,A,train,sample339,8,12.39125307,10.018804965754848
326,intrapolation,Butyrate,A,train,sample80,10,12.62249945,11.814298833209303
327,intrapolation,Butyrate,A,train,sample265,31,5.418496783999999,4.950063012701009
328,intrapolation,Butyrate,A,train,sample369,19,5.318122077,5.264998706000466
329,intrapolation,Butyrate,A,train,sample219,13,2.38695697,3.3477740109412633
330,intrapolation,Butyrate,A,train,sample427,1,4.54582236,5.536453602156773
331,intrapolation,Butyrate,A,train,sample472,8,8.692123197,7.720712895754969
332,intrapolation,Butyrate,A,train,sample488,13,6.7778701560000005,6.966775579445104
333,intrapolation,Butyrate,A,train,sample127,31,8.024905581,6.8693102139377125
334,intrapolation,Butyrate,A,train,sample291,1,7.749983969,7.38091241358618
335,intrapolation,Butyrate,A,train,sample502,19,4.642135898,6.124539032819599
336,intrapolation,Butyrate,A,train,sample458,5,11.17054226,9.864954149798548
337,intrapolation,Butyrate,A,train,sample385,25,2.617068291,3.8327808595199078
338,intrapolation,Butyrate,A,train,sample157,1,5.047879588,5.258538053335584
339,intrapolation,Butyrate,A,train,sample459,5,11.79788012,10.588936920132728
