,NCBIID,EC,Forward,Reverse
215,46123,1.1.1.25,350.2701149,384.2812106
216,46123,2.7.1.71,357.3365385,357.3365385
217,46123,2.5.1.16,6351615.385,6351615.385
218,46123,2.2.1.2,1066.659292,1052.68559
219,46123,1.1.1.93,461772.7273,131721.2318
220,46123,5.1.3.13,1517.77027,1517.77027
221,46123,1.1.1.133,1124.137931,1124.137931
222,46123,4.2.1.46,82.03814831,82.03814831
223,46123,2.7.8.12,411205.0691,411205.0691
224,46123,1.6.1.1,308.3978559,242.3022929
225,46123,1.11.1.7,738.6029412,738.6029412
226,46123,4.3.1.19,11961.83652,6162.455565
227,46123,2.2.1.1,3755.319149,2401.360544
228,46123,2.7.6.2,1071428.571,1071428.571
229,46123,5.3.1.1,4.262444865,4.262444865
230,46123,1.8.1.9,2614.655177,2872.159091
231,46123,2.4.1.64,2797.868339,2729.41896
232,46123,3.2.1.28,314.0703518,314.0703518
233,46123,4.2.1.20,3790.468986,2407.976934
234,46123,1.1.1.60,374.4855967,374.4855967
235,46123,3.2.1.183,10000,10000
236,46123,2.7.7.23,16968.42105,16968.42105
237,46123,2.4.1.227,63333.33333,60946.27105
238,46123,6.3.2.9,156610,156610
239,46123,3.6.1.27,3333.333333,625
240,46123,5.1.3.2,275.1356025,275.1356025
241,46123,2.7.7.12,3165.526316,1093.545455
242,46123,3.6.1.17,465571.4286,465571.4286
243,46123,2.4.2.9,3973.137255,13508666.67
244,46123,2.7.4.22,387.1288136,387.1288136
245,46123,5.3.1.5,768.6754454,48172.81553
246,46123,2.7.1.17,1100.048077,2200.096154
247,46123,4.2.1.70,8353333.333,8353333.333
248,46123,5.4.2.7,4314.705882,4314.705882
249,2057233,4.2.3.1,60672.13115,1088529.412
250,2057233,4.1.1.21,264.5461538,223.3181818
251,2057233,3.2.1.86,62.64383562,62.64383562
252,2057233,5.3.1.13,1259.515571,1070.588235
253,2057233,1.2.1.3,43497.92531,43497.92531
254,2057233,2.8.3.8,189.0551724,189.0551724
255,2057233,2.3.1.9,787.5,787.5
256,2057233,2.3.1.16,29945.71429,5175.802469
257,2057233,2.7.8.33,27772.5,27772.5
258,2057233,2.7.2.1,233.5907336,98.21428571
259,2057233,1.3.8.1,2701.821429,2701.821429
260,2057233,2.7.8.7,38180.5999,110794.4444
261,2057233,2.7.4.3,278296.1539,278296.1539
262,2057233,3.6.1.13,163.0364059,163.0364059
263,2057233,2.4.2.7,4287.245445,4287.245445
264,2057233,4.3.2.2,783613.4454,797008.547
265,2057233,2.6.1.37,19137.46631,7634.408602
266,2057233,3.5.1.25,4700,4700
267,2057233,6.3.2.4,26547.33725,26547.33725
268,2057233,3.4.11.23,417.918552,417.918552
269,2057233,1.4.1.1,1458.333333,1738.0509
270,2057233,5.1.1.1,61.87953795,61.87953795
271,2057233,1.1.1.1,7556.675063,7556.675063
272,2057233,4.1.1.97,148.5819672,148.5819672
273,2057233,2.4.1.25,716087.5,540.4433962
274,2057233,3.4.11.1,85543.65079,85543.65079
275,2057233,1.2.1.11,270335.7143,270335.7143
276,2057233,2.1.3.2,154.676259,154.676259
277,2057233,2.6.1.1,1723.438596,2728.777778
278,2057233,3.2.1.21,4170.72,4170.72
279,2057233,3.1.3.7,369.6947368,369.6947368
280,2057233,6.3.5.5,89733.8403,786666.6667
