,Model,InulinFlux,GrowthRate,MaxSecrFlux,MaxCplexStatus,MinSecrFlux,MinCplexStatus
606,Bacteroides_816,0.1,0.0,0.0,1,0.0,1
607,Bacteroides_816,0.1,0.004841149728113704,1.9364598912454816,1,0.0,1
608,Bacteroides_816,0.1,0.009682299456227408,3.872919782490963,1,0.0,1
609,Bacteroides_816,0.1,0.014523449184341113,5.809379673736445,1,0.0,1
610,Bacteroides_816,0.1,0.019364598912454817,7.745839564981926,1,0.0,1
611,Bacteroides_816,0.1,0.024205748640568524,9.68229945622741,1,0.0,1
612,Bacteroides_816,0.1,0.029046898368682225,11.61875934747289,1,0.0,1
613,Bacteroides_816,0.1,0.033888048096795936,13.555219238718374,1,0.0,1
614,Bacteroides_816,0.1,0.038729197824909634,15.491679129963853,1,0.0,1
615,Bacteroides_816,0.1,0.04357034755302334,17.428139021209336,1,0.0,1
616,Bacteroides_816,0.1,0.04841149728113705,19.36459891245482,1,0.0,1
617,Bacteroides_816,0.1,0.053252647009250746,19.478538621790456,1,0.0,1
618,Bacteroides_816,0.1,0.05809379673736445,19.456951551474386,1,0.0,1
619,Bacteroides_816,0.1,0.06293494646547816,19.435040266792114,1,0.0,1
620,Bacteroides_816,0.1,0.06777609619359187,19.412799439081418,1,0.0,1
621,Bacteroides_816,0.1,0.07261724592170557,19.390558611370707,1,0.0,1
622,Bacteroides_816,0.1,0.07745839564981927,19.36503424157027,1,0.0,1
623,Bacteroides_816,0.1,0.08229954537793298,19.338879259003185,1,0.0,1
624,Bacteroides_816,0.1,0.08714069510604668,19.31256358962467,1,0.0,1
625,Bacteroides_816,0.1,0.09198184483416039,19.285848890833673,1,0.0,1
626,Bacteroides_816,0.1,0.0968229945622741,19.258247850061778,1,0.0,1
627,Bacteroides_816,0.1,0.1016641442903878,19.23044566052048,1,0.0,1
628,Bacteroides_816,0.1,0.10650529401850149,19.20224539938266,1,0.0,1
629,Bacteroides_816,0.1,0.1113464437466152,19.173970481861176,1,0.0,1
630,Bacteroides_816,0.1,0.1161875934747289,19.145625773078834,1,0.0,1
631,Bacteroides_816,0.1,0.12102874320284261,19.117281064296478,1,0.0,1
632,Bacteroides_816,0.1,0.12586989293095632,19.088936355514114,1,0.0,1
633,Bacteroides_816,0.1,0.13071104265907002,19.060591134399083,1,0.0,1
634,Bacteroides_816,0.1,0.13555219238718375,19.0320331049584,1,0.0,1
635,Bacteroides_816,0.1,0.14039334211529741,19.002771347751374,1,0.0,1
636,Bacteroides_816,0.1,0.14523449184341114,18.973262939146494,1,0.0,1
637,Bacteroides_816,0.1,0.15007564157152484,18.943754530541646,1,0.0,1
638,Bacteroides_816,0.1,0.15491679129963853,18.914216091584457,1,0.0,1
639,Bacteroides_816,0.1,0.15975794102775226,18.87657423712519,1,0.0,1
640,Bacteroides_816,0.1,0.16459909075586596,18.83642574971496,1,0.0,1
641,Bacteroides_816,0.1,0.16944024048397968,18.79627726230473,1,0.0,1
642,Bacteroides_816,0.1,0.17428139021209335,18.756128774894513,1,0.0,1
643,Bacteroides_816,0.1,0.17912253994020708,18.71598028297002,1,0.0,1
644,Bacteroides_816,0.1,0.18396368966832077,18.675255199966294,1,0.0,1
645,Bacteroides_816,0.1,0.18880483939643447,18.634368761771924,1,0.0,1
646,Bacteroides_816,0.1,0.1936459891245482,18.593482323577554,1,0.0,1
647,Bacteroides_816,0.1,0.1984871388526619,18.552595885383187,1,0.0,1
648,Bacteroides_816,0.1,0.2033282885807756,18.511709447188814,1,0.0,1
649,Bacteroides_816,0.1,0.2081694383088893,18.470823008994437,1,0.0,1
650,Bacteroides_816,0.1,0.21301058803700298,18.429935898172584,1,0.0,1
651,Bacteroides_816,0.1,0.2178517377651167,18.389048354859824,1,0.0,1
652,Bacteroides_816,0.1,0.2226928874932304,18.348160811547046,1,0.0,1
653,Bacteroides_816,0.1,0.22753403722134413,18.30727259779605,1,0.0,1
654,Bacteroides_816,0.1,0.2323751869494578,18.266360587263588,1,0.0,1
655,Bacteroides_816,0.1,0.23721633667757153,18.224797286751375,1,0.0,1
656,Bacteroides_816,0.1,0.24205748640568522,18.18295423613398,1,0.0,1
657,Bacteroides_816,0.1,0.24689863613379892,18.14101791175252,1,0.0,1
658,Bacteroides_816,0.1,0.25173978586191265,18.099065944812587,1,0.0,1
659,Bacteroides_816,0.1,0.25658093559002637,18.057113977872667,1,0.0,1
660,Bacteroides_816,0.1,0.26142208531814004,18.01516201093276,1,0.0,1
661,Bacteroides_816,0.1,0.26626323504625377,17.973191490817886,1,0.0,1
662,Bacteroides_816,0.1,0.2711043847743675,17.931179400567615,1,0.0,1
663,Bacteroides_816,0.1,0.27594553450248116,17.889146156120752,1,0.0,1
664,Bacteroides_816,0.1,0.28078668423059483,17.847087427999988,1,0.0,1
665,Bacteroides_816,0.1,0.28562783395870855,17.804990097601532,1,0.0,1
666,Bacteroides_816,0.1,0.2904689836868223,17.762553056352672,1,0.0,1
667,Bacteroides_816,0.1,0.29531013341493595,17.719695395379524,1,0.0,1
668,Bacteroides_816,0.1,0.3001512831430497,17.67602421302036,1,0.0,1
669,Bacteroides_816,0.1,0.3049924328711634,17.63231966363869,1,0.0,1
670,Bacteroides_816,0.1,0.30983358259927707,17.588258138731288,1,0.0,1
671,Bacteroides_816,0.1,0.3146747323273908,17.543465403925723,1,0.0,1
672,Bacteroides_816,0.1,0.3195158820555045,17.498479109615605,1,0.0,1
673,Bacteroides_816,0.1,0.32435703178361824,17.453492815305495,1,0.0,1
674,Bacteroides_816,0.1,0.3291981815117319,17.408471007028403,1,0.0,1
675,Bacteroides_816,0.1,0.33403933123984564,17.363306354618196,1,0.0,1
676,Bacteroides_816,0.1,0.33888048096795936,17.318141657259744,1,0.0,1
