Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Holdemania filiformis,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",Consumption (import),278
Holdemania filiformis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),278
Holdemania filiformis,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),278
Holdemania filiformis,Melibiose,Consumption (import),278
Holdemania filiformis,Raffinose,Consumption (import),278
Holdemania filiformis,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,278
Holdemania filiformis,Succinate,Production (export),278
Holdemania filiformis,Sucrose,Consumption (import),278
Holdemania filiformis,Trehalose,Consumption (import),278
Hungateiclostridium cellulolyticum,Acetate,Production (export),3
Hungateiclostridium cellulolyticum,CO2,Production (export),3
Hungateiclostridium cellulolyticum,Cellobiose,Consumption (import),3
Hungateiclostridium cellulolyticum,Cellulose (Beta-D-glucan),Macromolecule degradation,"1, 2"
Hungateiclostridium cellulolyticum,Ethanol,Production (export),3
Hungateiclostridium cellulolyticum,H2 (Hydrogen),Production (export),3
Hungateiclostridium clariflavum,Acetate,Production (export),751
Hungateiclostridium clariflavum,CO2,Production (export),751
Hungateiclostridium clariflavum,Cellobiose,Consumption (import),751
Hungateiclostridium clariflavum,Cellulose (Beta-D-glucan),Macromolecule degradation,751
Hungateiclostridium clariflavum,Ethanol,Production (export),751
Hungateiclostridium clariflavum,Formate,Production (export),751
Hungateiclostridium clariflavum,H2 (Hydrogen),Production (export),751
Hungateiclostridium clariflavum,Indole,Production (export) (-),751
Hungateiclostridium clariflavum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),751
Hungateiclostridium clariflavum,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),751
Hungateiclostridium thermocellum,Cellobiose,Consumption (import),"380, 381"
Hungateiclostridium thermocellum,"Cellotetraose (Cellohexaose, Cellopentaose, Cellotriose)",Consumption (import),"380, 381"
Hungateiclostridium thermocellum,Cellulose (Beta-D-glucan),Macromolecule degradation,"1, 2, 48, 79, 194, 380, 381, 382"
Hungateiclostridium thermocellum,D-Glucose (Glucose),Consumption (import),381
Hungateiclostridium thermocellum,Formate,Production (export),383
Hungateiclostridium thermocellum,H2 (Hydrogen),Production (export),383
Hungatella hathewayi,Acetate,Production (export),643
Hungatella hathewayi,CO2,Production (export),643
Hungatella hathewayi,Cellobiose,Consumption (import),643
Hungatella hathewayi,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),643
Hungatella hathewayi,D-Fructose (Fructose),Consumption (import),643
Hungatella hathewayi,D-Galactose,Consumption (import),643
Hungatella hathewayi,D-Glucose (Glucose),Consumption (import),643
Hungatella hathewayi,D-Mannose (Mannose),Consumption (import),643
Hungatella hathewayi,D-Ribose (Ribose),Consumption (import),643
Hungatella hathewayi,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),643
Hungatella hathewayi,D-Xylose (Xylose),Consumption (import),643
Hungatella hathewayi,Ethanol,Production (export),643
Hungatella hathewayi,H2 (Hydrogen),Production (export),643
Hungatella hathewayi,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),643
Hungatella hathewayi,Lactose,Consumption (import),643
Hungatella hathewayi,Maltose,Consumption (import),643
Hungatella hathewayi,Melibiose,Consumption (import),643
Hungatella hathewayi,Raffinose,Consumption (import),643
Hungatella hathewayi,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,643
Hungatella hathewayi,Sucrose,Consumption (import),643
Hungatella hathewayi,Trehalose,Consumption (import),643
Hyphomicrobium denitrificans,Nitrate (NO3-),Consumption (import),279
Ignavibacterium album,Cellobiose,Consumption (import),507
Ignavibacterium album,D-Fructose (Fructose),Consumption (import),507
Ignavibacterium album,D-Glucose (Glucose),Consumption (import),507
Ignavibacterium album,D-Mannose (Mannose),Consumption (import),507
Ignavibacterium album,Fumarate,Consumption (import) (-),507
Ignavibacterium album,Maltose,Consumption (import),507
Ignavibacterium album,Nitrate (NO3-),Consumption (import) (-),507
Ignavibacterium album,Nitrite (NO2-),Consumption (import) (-),507
Ignavibacterium album,Selenite,Consumption (import) (-),507
Ignavibacterium album,"Sulfate (Sulfuric acid, Sulfite)",Consumption (import) (-),507
Ignavibacterium album,Thiosulfate,Consumption (import) (-),507
Ignicoccus hospitalis,CO2,Consumption (import),271
Ignicoccus hospitalis,H2 (Hydrogen),Consumption (import),280
Ilyobacter polytropus,"1,3-Propanediol",Production (export),281
Ilyobacter polytropus,Glycerol,Consumption (import),281
Intestinibacter bartlettii,Acetate,Production (export),763
Intestinibacter bartlettii,D-Fructose (Fructose),Consumption (import),763
Intestinibacter bartlettii,D-Glucose (Glucose),Consumption (import),763
Intestinibacter bartlettii,D-Mannitol (Mannitol),Consumption (import),763
Intestinibacter bartlettii,D-Ribose (Ribose),Consumption (import),763
Intestinibacter bartlettii,Isobutyrate (2-Methylpropanoic acid),Production (export),763
Intestinibacter bartlettii,Isovalerate (3-Methylbutanoic acid),Production (export),763
Intestinibacter bartlettii,Maltose,Consumption (import),763
Intestinibacter bartlettii,Phenylacetate,Production (export),763
Intestinibacter bartlettii,Sucrose,Consumption (import),763
Johnsonella ignava,Acetate,Production (export),508
Johnsonella ignava,Arabinogalactan,Macromolecule degradation (-),508
Johnsonella ignava,Butyrate,Production (export),508
Johnsonella ignava,Cellobiose,Consumption (import) (-),508
Johnsonella ignava,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),508
Johnsonella ignava,D-Fructose (Fructose),Consumption (import) (-),508
Johnsonella ignava,D-Glucose (Glucose),Consumption (import) (-),508
Johnsonella ignava,D-Mannitol (Mannitol),Consumption (import) (-),508
Johnsonella ignava,D-Mannose (Mannose),Consumption (import) (-),508
Johnsonella ignava,D-Ribose (Ribose),Consumption (import) (-),508
Johnsonella ignava,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),508
Johnsonella ignava,D-Xylose (Xylose),Consumption (import) (-),508
Johnsonella ignava,Erythritol,Consumption (import) (-),508
Johnsonella ignava,Glycerol,Consumption (import) (-),508
Johnsonella ignava,H2 (Hydrogen),Production (export) (-),508
Johnsonella ignava,H2S (HS-),Production (export) (-),508
Johnsonella ignava,Indole,Production (export) (-),508
Johnsonella ignava,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",Consumption (import) (-),508
Johnsonella ignava,Isobutyrate (2-Methylpropanoic acid),Production (export),508
Johnsonella ignava,Isovalerate (3-Methylbutanoic acid),Production (export),508
Johnsonella ignava,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),508
Johnsonella ignava,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import) (-),508
Johnsonella ignava,Lactose,Consumption (import) (-),508
Johnsonella ignava,Maltose,Consumption (import) (-),508
Johnsonella ignava,Melibiose,Consumption (import) (-),508
Johnsonella ignava,Nitrate (NO3-),Consumption (import) (-),508
Johnsonella ignava,Raffinose,Consumption (import) (-),508
Johnsonella ignava,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation (-),508
Johnsonella ignava,Succinate,Production (export),508
Johnsonella ignava,Sucrose,Consumption (import) (-),508
Johnsonella ignava,Trehalose,Consumption (import) (-),508
Johnsonella ignava,Xylan,Macromolecule degradation (-),508
Ketogulonicigenium vulgare,"Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)",Production (export),69
Kingella denitrificans,Nitrate (NO3-),Consumption (import),282
Kingella denitrificans,Nitrite (NO2-),Consumption (import),282
Klebsiella pneumoniae,"1,3-Propanediol",Production (export),"281, 283"
Klebsiella pneumoniae,Acetate,"Consumption (import), Production (export)",import:284;export:283
Klebsiella pneumoniae,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])","Consumption (import), Production (export)","import:59;export:285, 286"
Klebsiella pneumoniae,Benzoate,Consumption (import),286
Klebsiella pneumoniae,CO2,Production (export),641(G)
Klebsiella pneumoniae,Cellobiose,Consumption (import),286
Klebsiella pneumoniae,Citrate,Consumption (import),286
Klebsiella pneumoniae,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),286
Klebsiella pneumoniae,"D-Gluconate (D-Gluconic acid, Gluconate)",Consumption (import),286
Klebsiella pneumoniae,D-Glucose (Glucose),Consumption (import),284
Klebsiella pneumoniae,D-Xylose (Xylose),Consumption (import),286
Klebsiella pneumoniae,Ethanol,Production (export),283
Klebsiella pneumoniae,Ethanolamine (Phosphatidylethanolamine),Consumption (import),286
Klebsiella pneumoniae,Formaldehyde,Production (export),245
Klebsiella pneumoniae,Formate,Consumption (import),284
Klebsiella pneumoniae,Glycerol,Consumption (import),"281, 283"
Klebsiella pneumoniae,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",Consumption (import),286
Klebsiella pneumoniae,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import),286
Klebsiella pneumoniae,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),286
Klebsiella pneumoniae,"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)",Consumption (import),286
Klebsiella pneumoniae,L-Sorbose (Sorbose),Consumption (import),286
Klebsiella pneumoniae,Methanol,Consumption (import),284
Klebsiella pneumoniae,Methylamine (Monomethylamine),Consumption (import),284
Klebsiella pneumoniae,N2,Consumption (import),284
Klebsiella pneumoniae,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),364(G)
Klebsiella pneumoniae,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),144
Klebsiella pneumoniae,Nitrate (NO3-),Consumption (import),284
Klebsiella pneumoniae,Raffinose,Consumption (import),286
Klebsiella pneumoniae,Riboflavin (Vitamin B2),Production (export),140
Klebsiella pneumoniae,Stachyose,Consumption (import),286
Klebsiella pneumoniae,Succinate,Consumption (import),284
Klebsiella pneumoniae,Sucrose,Consumption (import),"68, 284, 286"
Klebsiella pneumoniae,Trimethylamine,Production (export),245
Klebsiella pneumoniae,Tyramine,Consumption (import),286
Klebsiella pneumoniae,Urea,Consumption (import),"286, 364(G)"
Klebsiella pneumoniae,XOS (Xylooligosaccharide),Consumption (import),135
Klebsiella pneumoniae,"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)","Consumption (import), Production (export)",import:201;export:25(G)
Klebsiella variicola,CO2,Production (export),641(G)
Klebsiella variicola,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),364(G)
Klebsiella variicola,Urea,Consumption (import),364(G)
Klebsiella variicola,"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)",Production (export),25(G)
Lachnoanaerobaculum saburreum,Acetate,Production (export),"663, 663(G)"
Lachnoanaerobaculum saburreum,Butyrate,Production (export),"663, 663(G)"
Lachnoanaerobaculum saburreum,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),663
Lachnoanaerobaculum saburreum,D-Glucose (Glucose),Consumption (import),"663, 663(G)"
Lachnoanaerobaculum saburreum,D-Xylose (Xylose),Consumption (import),663
Lachnoanaerobaculum saburreum,H2 (Hydrogen),Production (export),260
Lachnoanaerobaculum saburreum,H2S (HS-),Production (export),663
Lachnoanaerobaculum saburreum,Indole,Production (export),"260, 663"
Lachnoanaerobaculum saburreum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),663
Lachnoanaerobaculum saburreum,Lactose,Consumption (import),663
Lachnoanaerobaculum saburreum,Maltose,Consumption (import),663
Lachnoanaerobaculum saburreum,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),663
Lachnoanaerobaculum saburreum,Sucrose,Consumption (import),663
Lachnoanaerobaculum saburreum,Trehalose,Consumption (import),663
Lachnobacterium bovis,Acetate,Production (export),509
Lachnobacterium bovis,Butyrate,Production (export),509
Lachnobacterium bovis,Cellobiose,Consumption (import),509
Lachnobacterium bovis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),509
Lachnobacterium bovis,D-Fructose (Fructose),Consumption (import),509
Lachnobacterium bovis,D-Glucose (Glucose),Consumption (import),509
Lachnobacterium bovis,D-Xylose (Xylose),Consumption (import),509
Lachnobacterium bovis,Indole,Production (export) (-),509
Lachnobacterium bovis,L-Arginine (Arginine),Consumption (import) (-),509
Lachnobacterium bovis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),509
Lachnobacterium bovis,Lactose,Consumption (import),509
Lachnobacterium bovis,Maltose,Consumption (import),509
Lachnobacterium bovis,Sucrose,Consumption (import),509
Lachnoclostridium phytofermentans,Acetate,Production (export),753
Lachnoclostridium phytofermentans,CO2,Production (export),753
Lachnoclostridium phytofermentans,D-Galactose,Consumption (import),753
Lachnoclostridium phytofermentans,D-Glucose (Glucose),Consumption (import),753
Lachnoclostridium phytofermentans,D-Mannose (Mannose),Consumption (import),753
Lachnoclostridium phytofermentans,D-Ribose (Ribose),Consumption (import),753
Lachnoclostridium phytofermentans,D-Xylose (Xylose),Consumption (import),753
Lachnoclostridium phytofermentans,Ethanol,Production (export),753
Lachnoclostridium phytofermentans,Formate,Production (export),753
Lachnoclostridium phytofermentans,H2 (Hydrogen),Production (export),753
Lachnoclostridium phytofermentans,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),753
Lachnoclostridium phytofermentans,Lactose,Consumption (import),753
Lachnoclostridium phytofermentans,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,753
Lachnoclostridium phytofermentans,Xylan,Macromolecule degradation,753
Lactobacillus acidipiscis,Acetate,Production (export),385(G)
Lactobacillus acidipiscis,CO2,Production (export),641(G)
Lactobacillus acidipiscis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),242
Lactobacillus acidipiscis,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus acidipiscis,D-Mannitol (Mannitol),Consumption (import),242
Lactobacillus acidipiscis,D-Ribose (Ribose),Consumption (import),242
Lactobacillus acidipiscis,Ethanol,Production (export),641(G)
Lactobacillus acidipiscis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus acidipiscis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus acidipiscis,Sucrose,Consumption (import),242
Lactobacillus acidophilus,Acetate,Production (export),385(G)
Lactobacillus acidophilus,Biotin (Vitamin B7),Consumption (import),144
Lactobacillus acidophilus,CO2,Production (export),641(G)
Lactobacillus acidophilus,Cellobiose,Consumption (import),242
Lactobacillus acidophilus,Chenodeoxycholic acid (Chenodeoxycholate),Production (export),"133, 287"
Lactobacillus acidophilus,Cholic acid (Cholate),Production (export),"92, 133, 287"
Lactobacillus acidophilus,D-Fructose (Fructose),Consumption (import),"289, 108(G)"
Lactobacillus acidophilus,D-Galactose,Consumption (import),242
Lactobacillus acidophilus,D-Glucose (Glucose),Consumption (import),289
Lactobacillus acidophilus,D-Mannitol (Mannitol),Consumption (import),290
Lactobacillus acidophilus,D-Mannose (Mannose),Consumption (import),289
Lactobacillus acidophilus,Deoxycholic acid,Production (export),"133, 287"
Lactobacillus acidophilus,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),150
Lactobacillus acidophilus,Ethanol,Production (export),641(G)
Lactobacillus acidophilus,FOS (Fructooligosaccharide),Consumption (import),139
Lactobacillus acidophilus,"Folic acid (Folate, Vitamin B9)",Production (export),"54, 288"
Lactobacillus acidophilus,Glycochenodeoxycholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Glycocholate,Consumption (import),"92, 133, 287"
Lactobacillus acidophilus,Glycodeoxycholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Glycolithocholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Indole-3-carboxaldehyde,Production (export),312
Lactobacillus acidophilus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus acidophilus,L-Tryptophan (Tryptophan),Consumption (import),312
Lactobacillus acidophilus,Lactose,Consumption (import),242
Lactobacillus acidophilus,Lithocholic acid,Production (export),"133, 287"
Lactobacillus acidophilus,Maltose,Consumption (import),242
Lactobacillus acidophilus,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),242
Lactobacillus acidophilus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"242, 65(G)"
Lactobacillus acidophilus,Putrescine,Production (export),98
Lactobacillus acidophilus,Raffinose,Consumption (import),123
Lactobacillus acidophilus,Riboflavin (Vitamin B2),Consumption (import),144
Lactobacillus acidophilus,Sucrose,Consumption (import),242
Lactobacillus acidophilus,Taurochenodeoxycholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Taurocholate,Consumption (import),"92, 133, 287"
Lactobacillus acidophilus,Taurodeoxycholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Taurolithocholate,Consumption (import),"133, 287"
Lactobacillus acidophilus,Tryptamine,Production (export),98
Lactobacillus acidophilus,XOS (Xylooligosaccharide),Consumption (import),135
Lactobacillus amylolyticus,Acetate,Production (export),385(G)
Lactobacillus amylolyticus,CO2,Production (export),641(G)
Lactobacillus amylolyticus,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus amylolyticus,D-Galactose,Consumption (import),242
Lactobacillus amylolyticus,D-Mannose (Mannose),Consumption (import),242
Lactobacillus amylolyticus,Ethanol,Production (export),641(G)
Lactobacillus amylolyticus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus amylolyticus,Maltose,Consumption (import),242
Lactobacillus amylolyticus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus amylolyticus,Sucrose,Consumption (import),242
Lactobacillus amylovorus,Acetate,Production (export),385(G)
Lactobacillus amylovorus,CO2,Production (export),641(G)
Lactobacillus amylovorus,Cellobiose,Consumption (import),242
Lactobacillus amylovorus,D-Fructose (Fructose),Consumption (import),"289, 108(G)"
Lactobacillus amylovorus,D-Galactose,Consumption (import),242
Lactobacillus amylovorus,D-Glucose (Glucose),Consumption (import),289
Lactobacillus amylovorus,D-Mannose (Mannose),Consumption (import),242
Lactobacillus amylovorus,Ethanol,Production (export),641(G)
Lactobacillus amylovorus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus amylovorus,Maltose,Consumption (import),242
Lactobacillus amylovorus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus amylovorus,Sucrose,Consumption (import),242
Lactobacillus amylovorus,Trehalose,Consumption (import),242
Lactobacillus animalis,Acetate,Production (export),"242, 385(G)"
Lactobacillus animalis,CO2,Production (export),641(G)
Lactobacillus animalis,Cellobiose,Consumption (import),"242, 614"
Lactobacillus animalis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),"242, 614"
Lactobacillus animalis,D-Fructose (Fructose),Consumption (import),"614, 108(G)"
Lactobacillus animalis,D-Glucose (Glucose),Consumption (import),614
Lactobacillus animalis,D-Ribose (Ribose),Consumption (import),"242, 614"
Lactobacillus animalis,Ethanol,Production (export),"242, 641(G)"
Lactobacillus animalis,Formate,Production (export),242
Lactobacillus animalis,"Fructan (Inulin, Levan)",Macromolecule degradation,614
Lactobacillus animalis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"242, 614, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus animalis,Lactose,Consumption (import),614
Lactobacillus animalis,Maltose,Consumption (import),614
Lactobacillus animalis,Melibiose,Consumption (import),"242, 614"
Lactobacillus animalis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus animalis,Raffinose,Consumption (import),"242, 614"
Lactobacillus animalis,Trehalose,Consumption (import),614
Lactobacillus antri,Acetate,Production (export),385(G)
Lactobacillus antri,CO2,Production (export),641(G)
Lactobacillus antri,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),242
Lactobacillus antri,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus antri,D-Galactose,Consumption (import),242
Lactobacillus antri,D-Ribose (Ribose),Consumption (import),242
Lactobacillus antri,Ethanol,Production (export),641(G)
Lactobacillus antri,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus antri,Maltose,Consumption (import),242
Lactobacillus antri,Melibiose,Consumption (import),242
Lactobacillus antri,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus antri,Raffinose,Consumption (import),242
Lactobacillus antri,Sucrose,Consumption (import),242
Lactobacillus brevis,"1,3-Propanediol",Production (export),"292, 294"
Lactobacillus brevis,4-Aminobutyrate (GABA),Production (export),136
Lactobacillus brevis,Acetate,Production (export),"294, 385(G)"
Lactobacillus brevis,CO2,Production (export),"294, 641(G)"
Lactobacillus brevis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),242
Lactobacillus brevis,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus brevis,D-Ribose (Ribose),Consumption (import),242
Lactobacillus brevis,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),150
Lactobacillus brevis,Ethanol,Production (export),641(G)
Lactobacillus brevis,"Folic acid (Folate, Vitamin B9)","Consumption (import), Production (export)",import:242;export:293
Lactobacillus brevis,Glycerol,Consumption (import),"291, 292, 294"
Lactobacillus brevis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)","Consumption (import), Production (export)","import:294;export:25(G), 46(G), 641(G), 654(G)"
Lactobacillus brevis,Maltose,Consumption (import),242
Lactobacillus brevis,Melibiose,Consumption (import),242
Lactobacillus brevis,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),242
Lactobacillus brevis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"242, 65(G)"
Lactobacillus brevis,Sucrose,Consumption (import),242
Lactobacillus brevis,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),242
Lactobacillus buchneri,"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)",Production (export),294
Lactobacillus buchneri,"1,3-Propanediol",Production (export),"292, 294"
Lactobacillus buchneri,Acetate,Production (export),"294, 385(G)"
Lactobacillus buchneri,CO2,Production (export),"294, 641(G)"
Lactobacillus buchneri,Chenodeoxycholic acid (Chenodeoxycholate),Production (export),133
Lactobacillus buchneri,Cholic acid (Cholate),Production (export),133
Lactobacillus buchneri,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),242
Lactobacillus buchneri,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus buchneri,D-Ribose (Ribose),Consumption (import),242
Lactobacillus buchneri,Deoxycholic acid,Production (export),133
Lactobacillus buchneri,Ethanol,Production (export),"294, 641(G)"
Lactobacillus buchneri,Glycerol,Consumption (import),"292, 294"
Lactobacillus buchneri,Glycochenodeoxycholate,Consumption (import),133
Lactobacillus buchneri,Glycocholate,Consumption (import),133
Lactobacillus buchneri,Glycodeoxycholate,Consumption (import),133
Lactobacillus buchneri,Glycolithocholate,Consumption (import),133
Lactobacillus buchneri,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)","Consumption (import), Production (export)","import:294;export:25(G), 46(G), 641(G), 654(G)"
Lactobacillus buchneri,Lithocholic acid,Production (export),133
Lactobacillus buchneri,Maltose,Consumption (import),242
Lactobacillus buchneri,Melibiose,Consumption (import),242
Lactobacillus buchneri,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus buchneri,Taurochenodeoxycholate,Consumption (import),133
Lactobacillus buchneri,Taurocholate,Consumption (import),133
Lactobacillus buchneri,Taurodeoxycholate,Consumption (import),133
Lactobacillus buchneri,Taurolithocholate,Consumption (import),133
Lactobacillus casei,"4-Aminobenzoate (para-aminobenzoic acid, PABA, p-Aminobenzoate)",Consumption (import),144
Lactobacillus casei,Acetate,Production (export),385(G)
Lactobacillus casei,Adenine,Consumption (import),144
Lactobacillus casei,Biotin (Vitamin B7),Consumption (import),"144, 296"
Lactobacillus casei,CO2,Production (export),641(G)
Lactobacillus casei,Cellobiose,Consumption (import),242
Lactobacillus casei,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus casei,"D-Gluconate (D-Gluconic acid, Gluconate)",Consumption (import),242
Lactobacillus casei,D-Mannitol (Mannitol),Consumption (import),290
Lactobacillus casei,D-Ribose (Ribose),Consumption (import),242
Lactobacillus casei,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),242
Lactobacillus casei,D-Tagatose,Consumption (import),298
Lactobacillus casei,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),150
Lactobacillus casei,Ethanol,Production (export),641(G)
Lactobacillus casei,FOS (Fructooligosaccharide),Consumption (import),139
Lactobacillus casei,"Folic acid (Folate, Vitamin B9)","Consumption (import), Production (export)","import:144, 207, 242, 296;export:127, 296"
Lactobacillus casei,Formate,Production (export),295
Lactobacillus casei,Guanine,Consumption (import),144
Lactobacillus casei,Indole-3-lactic acid,Production (export),664
Lactobacillus casei,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus casei,L-Tryptophan (Tryptophan),Consumption (import),664
Lactobacillus casei,Lactose,Consumption (import),297
Lactobacillus casei,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),"144, 242"
Lactobacillus casei,Orotic acid (Orotate),Consumption (import),144
Lactobacillus casei,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"144, 242, 65(G)"
Lactobacillus casei,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",Consumption (import),"144, 242, 246"
Lactobacillus casei,Riboflavin (Vitamin B2),Consumption (import),"144, 242"
Lactobacillus casei,Sucrose,Consumption (import),68
Lactobacillus casei,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),"65, 144, 207, 296"
