lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.227731
# Diagonal elements of inverse mass matrix:
# 0.0823218, 1.37702, 0.170559, 0.509911, 0.407534, 0.765305, 0.291858, 0.704703, 0.628116, 0.799155, 0.389706, 0.755013, 1.06665, 0.852003, 0.445123, 0.784009, 1.0792, 0.825705, 0.76028, 1.12365, 0.910654, 0.934274, 0.923347, 0.992995, 0.851219, 0.982874, 1.10603, 0.944114, 0.874549, 0.903691, 1.03246, 0.763794, 0.861151, 0.80026, 0.977502, 0.928672, 1.01678, 1.01861, 1.00292, 0.969151, 1.09092, 1.13774
-530.328,0.996315,0.227731,4,15,0,551.187,3.32951,0.99698,-3.39473,-3.70872,-3.17298,-2.11472,1.06472,-0.460467,-4.09154,1.58032,-1.97151,-0.375504,0.388228,2.23245,-2.45548,7.55415,2.20437,-0.886413,0.54,0.86781,-0.23265,-1.06374,0.558856,-0.44274,-0.806076,2.244,0.535129,-0.379598,-0.898823,0.9659,0.368501,-1.38416,0.646594,0.156935,1.37059,-1.21589,-0.491787,-0.0428214,-0.882721,0.182639,2.11362,-0.244091
-542.954,0.851121,0.227731,4,15,0,556.924,3.32592,0.999271,-3.48147,-4.64751,-2.29262,-1.96795,0.731998,0.87631,-1.90654,-0.638577,-3.49426,-1.13694,0.568888,1.12906,-1.42229,5.66246,1.58659,-0.671505,0.740073,0.0538241,1.01783,-1.22843,2.51536,1.75901,1.19527,1.12676,-2.40758,1.71037,2.13231,-0.43296,-0.986224,-1.23456,0.833975,0.159808,-0.134845,0.0427444,0.967331,-1.40938,-0.163744,1.16004,-0.126747,-2.29131
-532.213,0.947735,0.227731,4,15,0,560.242,2.99872,0.997613,-3.49651,-5.00582,-0.733274,-2.23058,1.59519,-0.00632396,-1.21199,2.45507,-2.97968,-1.50107,0.664909,0.822511,-0.459137,7.17805,3.32606,-0.841858,-0.0720239,1.19968,0.249677,-0.230289,-0.781828,-0.123754,-0.285974,0.627514,1.63513,-0.128131,-0.0692718,2.13749,1.38267,-1.54929,0.634941,-0.603217,-0.180243,1.62876,0.369799,-0.27125,-0.22252,-0.779986,0.702462,0.248011
-537.027,0.845649,0.227731,4,15,0,553.139,2.79981,0.999176,-2.96524,-3.81921,-1.22346,-0.92732,0.509864,-0.145431,-2.90136,0.906828,-3.56409,-1.31574,2.13253,2.04849,-0.236927,5.69695,2.17654,-0.71612,-0.200854,-0.42792,-0.800398,-0.171747,-0.133483,0.042515,0.397466,0.351281,0.430684,0.132886,-1.50759,0.975208,0.520995,-2.06506,-0.0368022,1.56956,-2.21194,0.0407454,-0.344098,1.20772,-0.250503,1.59217,0.0909567,-1.549
-534.244,0.996346,0.227731,4,15,0,554.185,2.84652,0.999063,-2.97477,-4.10712,-2.54654,-1.63982,2.68312,0.12624,-1.28979,1.04387,-1.27265,-0.774409,-0.0371675,-0.240494,-0.585551,6.14176,3.03838,-1.66174,0.351282,2.37906,1.22085,0.305687,0.632769,-0.564465,0.886693,1.18274,0.459445,0.0850592,0.384728,1.04158,-0.13482,0.966773,0.283938,0.860525,2.36527,1.70997,1.5269,-1.1498,-0.929983,-0.0465608,-0.0497306,-0.0711765
-539.745,0.952511,0.227731,4,15,0,557.806,2.44204,0.999354,-2.64403,-3.67113,-1.80002,-1.82995,2.19043,0.125078,-1.08526,1.47249,-1.57923,-0.388374,-0.0144011,2.33777,0.205719,6.61926,2.60676,-0.625053,-0.854133,1.58457,-0.818557,-1.00595,0.293445,-0.725553,1.30347,1.36546,1.96469,0.754227,0.167686,0.651562,1.05921,0.616724,0.532068,1.22169,2.27811,0.238977,1.11921,-1.11553,-1.99633,-2.11092,1.11151,1.33291
-538.195,0.995003,0.227731,4,15,0,558.629,2.43892,0.998721,-2.40732,-3.2417,-2.09115,-0.138845,1.74054,-0.0510721,-1.95333,1.04715,-2.00352,-0.461795,0.0803288,1.10821,0.405816,6.28815,3.96637,-0.34161,0.3497,1.10292,-0.202475,-0.315659,0.968786,-0.288025,0.148474,0.890515,1.86646,-0.042314,-0.373481,-1.19053,0.638181,-0.0587904,1.24674,1.8503,2.23763,-0.0704238,-0.164919,-1.7255,-0.748684,-2.51189,1.55213,-0.323908
-540.304,0.97616,0.227731,4,15,0,560.566,2.58787,0.990851,-2.42011,-4.04278,-3.2399,-0.219548,2.36645,0.289709,-1.85849,0.788058,-2.01644,-1.18472,0.900561,0.829308,0.0759664,5.4556,2.17074,-2.18675,0.918088,0.931999,-0.881425,-0.824923,1.18614,-0.537475,0.371531,0.641834,1.26621,0.901539,0.306384,-0.677567,1.16056,0.0750469,1.24099,0.276982,1.88717,1.05277,-0.0160432,-0.481615,-0.237749,-1.92023,1.76484,-1.13206
-539.575,1,0.227731,4,15,0,552.931,3.25585,0.999993,-3.57049,-4.21668,-1.57815,-2.63202,0.713972,0.167043,-3.30255,1.3801,-2.08801,-1.04473,0.799786,1.15764,-3.07507,7.30511,3.62058,1.17451,-0.173143,0.186028,0.965582,0.250505,0.0453437,0.0228412,-0.996369,1.20757,-1.4679,-0.292671,-0.00244848,2.92866,-0.0664221,-1.08748,0.493829,-0.0163129,-0.667156,-1.1278,0.561597,0.442257,-0.0318333,2.67565,-1.51964,0.0474703
-541.449,0.987251,0.227731,4,15,0,564.006,3.03021,0.999637,-3.30345,-3.87541,-2.96691,-0.795947,0.660154,-0.136484,-2.13748,0.168401,-1.4936,0.278748,1.44661,1.64713,0.617319,7.27746,1.96719,-0.732305,0.418509,-0.531722,-0.372241,-0.485735,-0.179237,-0.642063,-0.193939,-0.781817,0.204722,-0.297739,-1.26481,2.4625,-0.406864,0.747723,1.69828,1.77539,2.65025,0.640573,-0.438834,-1.40422,-1.17314,-0.624036,1.20368,-2.23796
