lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.226531
# Diagonal elements of inverse mass matrix:
# 0.0955562, 1.25781, 0.191978, 0.573469, 0.47228, 0.711372, 0.305619, 0.712718, 0.747751, 0.846048, 0.46945, 0.868893, 0.879867, 0.815539, 0.624956, 0.757942, 0.832626, 0.891764, 1.15046, 0.85998, 1.09495, 1.02011, 1.16437, 0.933333, 1.0951, 1.00681, 1.00472, 0.888813, 0.874933, 0.944975, 1.07029, 1.00479, 1.01173, 0.794897, 0.852429, 1.18945, 0.897547, 0.941796, 0.882326, 0.977129, 1.01649, 1.1128
-311.192,0.911972,0.226531,4,15,0,330.837,1.76913,0.998285,-1.96595,0.335404,-0.921912,-4.6915,-0.145312,0.307402,-3.32604,4.4025,-0.758396,-0.450108,1.30864,1.43314,-1.57998,2.00984,-0.225072,-0.0195457,-0.0516606,3.81017,2.99835,0.67936,-1.52381,0.213687,-0.605116,0.576187,0.578918,-1.33688,0.359589,0.631162,0.26808,-1.82921,0.807493,-0.245568,1.00997,-0.904693,-0.847023,-1.32399,-0.206312,0.803239,-0.432598,-0.765096
-313.066,0.992281,0.226531,4,15,0,331.144,1.88526,0.998906,-1.89435,0.315773,-0.866785,-5.03411,0.136794,0.310494,-2.4075,4.37245,-0.73424,-0.422365,1.01341,2.1537,-1.45542,2.14665,0.18297,-0.42151,0.645217,3.96308,2.78472,0.902332,-1.89669,-0.681781,-0.806741,-0.208948,0.100666,-1.47428,-0.429888,0.448627,-0.180879,-1.39102,0.268563,-0.319653,1.10852,-0.436135,-0.205311,-1.00678,0.187833,1.07128,-0.222031,-0.587558
-317.393,0.979842,0.226531,4,15,0,332.512,1.65025,0.997575,-1.35927,0.82368,-1.0828,-1.62087,1.39834,-1.68393,-5.46887,5.07544,-1.53062,-3.0438,0.429413,-1.72533,-0.395338,2.32929,0.813967,1.22039,-0.52744,4.52514,-1.25771,-0.582626,2.19653,0.170284,-0.27463,0.0885909,0.683538,1.63586,0.782575,0.514569,1.32075,0.756034,0.750677,0.34801,-1.00667,0.363374,-0.0636057,1.88523,-0.0866315,-0.878692,1.05263,0.0275928
-312.697,0.990098,0.226531,4,15,0,337.248,1.8268,0.999114,-1.15798,0.634573,-1.40034,-4.79356,0.567632,-1.14404,-3.73884,5.27515,-1.47975,-2.09234,0.360327,-0.61415,-0.73268,2.24933,0.0781299,-0.555668,0.512685,3.19354,0.657857,0.121533,-0.731188,1.43947,-0.188257,1.88089,-0.204433,0.231412,1.27391,0.0350599,2.56591,-2.28684,0.179016,-1.21118,0.318873,1.13976,-0.678682,-1.18392,1.53231,-1.07798,1.46673,-0.959813
-308.272,0.997375,0.226531,4,15,0,327.013,1.64045,0.999359,-1.52099,0.859244,0.180233,-2.84789,1.22233,-0.649619,-4.70006,4.47301,-1.9521,-1.46077,0.674007,-1.22402,-1.26429,1.53469,1.04275,0.861939,-0.999374,3.81735,0.408811,0.818861,-0.745667,-0.478184,0.475651,1.27308,0.151156,-1.21214,1.35116,-0.757325,-0.329451,-1.18986,1.84932,0.609952,0.720233,-0.0478418,0.352021,0.627554,-1.04614,0.466902,-1.37714,-0.21078
-314.95,0.670313,0.226531,4,15,0,329.978,2.08169,0.997893,-1.90599,0.0597844,-2.88428,-4.23038,0.163681,-0.542639,-3.08242,4.79978,-0.543255,-1.59679,-1.5698,0.392472,-0.8721,2.05491,-0.427432,-1.16301,2.28204,3.72245,0.888342,0.0239503,0.716559,0.612843,-1.72481,0.720166,-0.202975,0.470378,-0.505167,1.80751,0.613863,-1.28143,-1.04727,-0.400843,0.407605,-0.0120485,0.488816,-0.530318,1.248,0.579469,0.889406,0.329758
-319.127,0.736175,0.226531,4,15,0,339.389,1.80311,0.998162,-2.34679,-0.65785,-0.566333,-2.33777,1.04845,-1.04326,-4.46599,4.85254,-1.73419,-1.05929,1.29865,-1.01992,-1.95552,0.446903,2.16922,1.32755,-2.17237,4.89615,1.30766,0.29625,-0.244206,0.127634,0.819435,0.529893,0.159361,0.371481,2.26662,-0.685779,0.00345017,0.0430538,2.46419,0.688249,0.444636,-0.834881,-0.525493,0.0515623,-2.27271,0.737756,1.23272,-1.57912
-315.101,0.985379,0.226531,4,15,0,337.139,1.97167,0.997979,-2.26022,-0.548632,-0.821177,-2.16534,1.19227,-0.725047,-4.52893,5.06397,-1.71664,-1.03058,1.32598,-1.24331,-2.09547,0.301869,2.21192,1.45864,-2.12629,4.96859,1.21617,0.609064,-0.432171,0.0348242,0.612874,0.449558,0.483107,0.361758,2.17917,-0.84173,-0.330338,-0.0110172,2.15679,0.993502,0.561663,-1.21197,-0.256585,0.244622,-2.10128,0.271565,1.25379,-1.20996
-321.494,0.853352,0.226531,4,15,0,344.089,1.50323,0.996893,-1.60226,0.559923,-1.16304,-3.44228,-0.327315,1.07335,-2.00589,4.76854,-0.808316,-2.5504,-0.487905,0.709897,-0.219989,2.3335,0.77451,-1.81124,3.00048,4.82431,0.878867,-0.203158,-0.0394934,-0.937275,-1.29791,1.25967,-0.0225854,-0.733003,-0.841781,1.0807,1.14215,-0.835066,-0.910516,-2.02642,-0.782298,0.586342,0.579849,0.677702,1.38053,-0.574776,-0.770589,0.573062
-312.591,1,0.226531,4,15,0,340.684,2.05415,0.997734,-1.98066,0.323334,-0.590372,-3.81179,1.51679,-0.477226,-4.96332,5.13004,-1.81161,-0.508407,1.02237,0.0873115,-2.25973,0.999933,1.33416,-0.598292,-1.05694,3.3079,0.717079,0.622888,0.289047,-0.172242,-0.708243,-1.3775,-0.908901,-0.521457,1.42848,-0.580711,-0.552342,0.260359,2.41999,0.866137,1.38126,-1.32802,2.33617,0.0856116,-1.28283,1.18446,-0.402266,-0.88168
-311.565,0.88102,0.226531,4,15,0,335.676,1.59569,0.997112,-1.39932,0.814661,-1.1724,-3.12127,0.233379,-0.723792,-2.02149,4.13198,-1.03555,-1.51381,-0.165047,0.305084,0.351062,1.59078,-0.374674,0.776235,1.11197,4.64441,2.11884,0.270295,0.772331,-1.4386,-0.416884,1.85999,-0.0804531,-1.0385,0.0179314,-1.59448,1.81668,-1.02981,-0.312584,-0.482674,-0.0324917,0.464233,-0.203927,-0.575124,0.0966733,-0.44527,0.926042,-0.0332569
-312.753,0.995639,0.226531,4,15,0,330.154,1.61071,0.999269,-1.61,0.311236,-0.670302,-3.14576,0.782217,-0.324147,-3.79895,6.06737,-0.915739,-0.648965,-0.95169,-0.258669,-1.29683,3.99211,1.23688,-2.4028,0.752169,3.64702,-0.022832,0.568253,-0.994813,0.464721,-0.205382,-0.49155,0.497448,1.27894,1.63103,1.34776,0.330813,1.49328,0.592501,-1.48534,-1.2407,0.142177,0.932304,0.0649492,0.473516,2.35006,1.0131,-0.686239
-316.206,0.862448,0.226531,4,15,0,338.325,2.03422,0.998957,-1.69295,0.60434,-2.21082,-4.06661,0.961029,-0.0834343,-3.9734,2.74132,-1.10229,-1.83904,0.88826,-0.286736,-1.07368,-0.210461,0.357674,1.64121,0.284973,3.98753,2.10095,0.0901158,1.77755,-0.940064,-0.344992,0.64113,-0.635999,-0.507865,1.74523,-0.772986,0.631742,-2.37133,0.111199,0.765823,1.37566,-0.415381,-1.83553,-0.498662,-0.407753,-2.60082,-0.143948,0.333667
-316.5,0.912014,0.226531,4,15,0,337.478,2.1753,0.998383,-2.05932,0.321551,-0.961876,-4.14123,-0.19037,0.790261,-4.16743,2.82056,-2.02325,-3.63388,-0.437408,-0.3748,-1.08603,1.18206,0.804295,0.164737,0.974294,5.50858,-0.734643,-0.421067,0.0296468,0.714447,-0.904807,-0.437362,0.374297,-0.953492,1.90945,0.0237057,-0.27275,1.12581,-0.56885,0.328892,2.84236,0.199041,-0.23109,-1.5579,-0.258164,-1.52235,0.72715,0.313578
-310.885,0.998408,0.226531,4,15,0,332.874,2.23367,0.999317,-2.14061,0.0478086,-1.50339,-2.2871,1.0786,-1.91926,-3.8601,4.6792,-1.47189,-0.811151,-0.107446,-0.73463,-1.37704,2.0956,1.08801,0.228853,-1.06557,2.28462,2.16012,0.836955,-0.999836,-0.271569,-1.09159,0.870604,-0.109472,0.0940462,-0.0199909,-0.684782,2.27593,-0.883285,1.62379,-0.0321118,0.308495,-0.448306,-0.757341,1.95374,-0.350988,-0.566244,-0.323683,-1.413
-314.684,0.989224,0.226531,4,15,0,332.091,2.29234,0.996389,-2.24058,-1.28399,-0.464124,-2.44079,0.171943,-0.849894,-4.4855,4.6658,-2.78785,0.161781,1.77003,-0.282271,-1.32963,1.53347,0.773611,-1.4879,-0.376462,5.32524,1.27335,0.642151,-0.0124078,-0.255124,0.670343,0.76834,0.728398,-0.132244,0.472471,-0.675902,-0.56166,0.435001,2.47672,0.86609,0.139547,-0.816252,-2.2034,-1.50283,-0.128619,-0.564572,-0.140186,-0.883434
-318.528,0.994209,0.226531,4,15,0,331.066,1.45842,0.999987,-0.931872,1.24561,-1.60848,-3.94909,1.45471,0.0761203,-3.29362,4.80995,0.402136,-2.58075,-1.12559,0.0849109,-0.919615,2.26776,0.829726,0.517084,1.00671,2.47983,0.625251,-0.13732,0.283869,0.0954786,-1.49045,-0.210808,-0.353516,-0.0542747,2.11022,1.28263,1.51981,-1.12941,-1.42354,-1.03101,0.440251,0.552296,2.43172,1.50972,-0.168392,0.763646,0.901629,0.197754
-313.07,0.986196,0.226531,4,15,0,339.71,1.68748,0.999859,-1.37493,0.506338,-1.67084,-3.1169,0.413731,1.02763,-4.30515,4.81067,-0.952999,-1.46526,-0.596621,-0.0763395,-1.52542,1.00015,2.65739,0.542647,0.425465,3.58406,1.57564,-1.00533,2.31268,0.732255,0.664486,0.958259,0.614151,-0.262318,0.13726,2.54487,-0.71066,-1.05738,-0.459589,-0.146807,0.825553,-0.248042,0.804663,-0.119233,0.676891,0.0218559,0.269067,-1.27351
-310.639,0.991103,0.226531,4,15,0,328.653,2.40704,0.999088,-2.75942,-0.213194,-0.830403,-3.97237,0.439483,-1.583,-4.01102,4.3398,-1.40638,-0.918526,1.22206,0.553611,-0.806779,1.57758,0.0907945,-1.86304,0.491036,3.08379,0.498857,1.03281,-1.70896,-1.20042,-1.18147,-0.484544,-0.375307,1.28201,2.79786,-0.963435,1.23062,-0.297985,1.46265,-1.13916,1.20043,-0.597063,-0.303393,0.0794516,-1.02283,0.071663,-0.224274,1.18122
-312.658,0.726162,0.226531,4,15,0,338.853,2.50148,0.999142,-2.59396,-0.0231597,-0.311899,-4.44492,0.618936,-1.53761,-3.46037,4.40995,-1.40803,-0.723232,0.610055,1.27626,-1.02147,1.92235,-0.538486,-1.73394,0.398615,2.85126,0.627324,1.01842,-0.888031,-1.38768,-0.890822,0.968949,-0.466785,1.13475,2.21195,-1.29159,0.298526,-0.289339,0.655708,-1.77849,1.67662,-0.266816,-0.124577,0.188125,0.0593496,-0.25825,-0.126361,0.367471
