,MiceID,Vendor,SCFA,k1,k2,D,H,Ai,R2,zeta
69,SC3,Shanghai,Total,0.999999974,0.999999974,1.1489E-07,8.187657978,15.92129994,0.302382674,1
70,BC3,Beijing,Total,0.999999968,0.999999962,23.19083441,12.13604359,34.10162214,0.733105918,1
71,SC2,Shanghai,Total,3.09461E-07,1.35906E-06,2.6527E-07,0.004691376,8.680376369,0.021493916,1.286411668
72,GC2,Guangdong,Total,3.7377E-09,0.999999349,2.04531315,0.458562751,11.60095664,0.412030248,8178.392045
73,SC4,Shanghai,Total,1.52574E-06,4.99098E-07,6.73037E-08,0.024002557,6.753421051,0.607747595,1.160185584
74,HC2,Hunan,Total,0.42191408,0.421914121,8.97909169,2.368217024,20.26554336,0.389136979,1
75,HC4,Hunan,Total,0.589776637,0.589776654,34.98361283,4.872552992,16.14356332,0.732307255,1
76,SC1,Shanghai,Total,0.03678941,0.061003914,0.012961245,4.1961E-10,6.304990019,0.071368444,1.032140812
77,HC1,Hunan,Total,0.999999964,0.999999959,2.13051E-08,13.35537941,23.46493607,-0.018811599,1
78,GC1,Guangdong,Total,0.999999953,0.999999946,4.70506E-08,12.79418895,32.1024837,0.159940345,1
79,GC3,Guangdong,Total,0.10412991,0.104129904,1.33840924,5.42704E-09,18.66534617,0.409045461,1
