SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Escherichia_dash_Shigella,Mucispirillum_dash_schaedleri,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillospiraceae,Dubosiella_dash_newyorkensis,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Lachnoclostridium,Roseburia,Lactobacillus,Colidextribacter,Bifidobacterium_dash_choerinum,Bacteroides_dash_caecimuris,Oscillibacter,Desulfovibrio,mouse_dash_gut_dash_metagenome,Clostridia_dash_vadinBB60_dash_group,Alistipes,Peptococcaceae,Muribaculum,Desulfovibrionaceae,Parabacteroides,Helicobacter_dash_mastomyrinus,Anaerotruncus,Clostridiales_dash_bacterium_dash_CIEAF_dash_020,Rikenellaceae_dash_RC9_dash_gut_dash_group,Ruminococcaceae,Candidatus_dash_Saccharimonas,Lachnospiraceae_dash_UCG_dash_006
sample173,76648038.66869481,63721.3033560551,178439924.357113,59168126.58897698,3637907.137054782,81099.84063497922,1396075.828073571,14192472.11112136,86892.6863946206,1036919.390975806,6815283.036218075,139028.298231393,130339.0295919309,49239.18895695167,0.0,379431.3972565099,14482.11439910343,324399.3625399169,364949.2828574065,101374.800793724,23171.38303856549,249092.367664579,0.0,477909.7751704133,179578.2185488826,0.0,608248.8047623441,0.0,240403.099025117,367845.7057372272,2983315.566215307,304124.4023811721,251988.7905443997,0.0,327295.7854197376,6438748.061841386,104271.2236735447,28964.22879820687,31860.65167802755,147717.566870855
sample175,141721859.1643604,20610536.42244468,22963033.88569254,76802596.9765133,14666854.90357101,34240.11718768295,682788.219213207,12860185.19078562,96677.97794169303,525686.5050579559,4503582.472450534,100706.2270225969,0.0,1703949.36122234,0.0,300104.5565273388,696887.0909963707,189327.7068024822,962751.5303360265,255793.8166373961,370598.9154431567,491446.3878702729,394768.4099285799,424980.278035359,416923.7798735512,0.0,1158121.610759865,38268.36626858683,449149.7725207822,505545.2596534365,1871121.698079851,545827.7504624752,336358.7982554737,0.0,223567.8239901651,0.0,104734.4761035008,70494.35891581784,44310.73988994264,892257.1714202086
sample186,204296806.0441246,7328876.152286652,751422.708710183,41739026.7264883,11787317.5573004,0.0,0.0,26765676.88425672,3000681.350115998,1137153.032514744,4688877.702351542,105199.1792194256,90170.72504522196,26941008.84962243,0.0,1001896.944946911,631195.0753165537,4894266.576065659,3702009.211578835,1507854.902145101,1092067.669992133,1653129.959162403,1643110.989712934,170322.4806409748,796508.071232794,0.0,345654.4460066842,25047.42362367277,345654.4460066842,75142.2708710183,1743300.684207625,220417.3278883204,220417.3278883203,0.0,736394.2545359795,85161.24032048741,115218.1486688947,611157.1364176155,115218.1486688947,1051991.792194256
sample187,175617507.3120857,863797.9423468843,2315235.377071017,48241027.83597487,16858510.02721614,205513.2650936825,542683.4656380053,14646031.28269196,80278.61917721972,9755457.80241574,15747453.93780342,93123.19824557487,86700.9087113973,7677847.138109295,0.0,2292757.363701395,658284.6772532017,346803.6348455892,1730807.029460857,452771.4121595192,944076.5615241039,1428959.421354511,1066100.062673478,401393.0958860986,2588182.682273563,0.0,2225323.323592531,57800.6058075982,497727.4388987623,802786.1917721973,1856041.67537732,250469.2918329255,244047.0022987479,0.0,1088578.076043099,0.0,89912.05347848608,404604.2406531874,48167.17150633183,937654.2719899263
sample188,149128421.9246854,6410127.640325063,9542315.299379488,77540235.41902263,23561309.06682822,0.0,294479.1816205017,7079398.507644384,591932.9004290893,553263.916983973,4732488.666244629,65439.81813788928,62465.2809498034,252835.6609872994,0.0,202268.5287898396,823946.8010997876,205243.0659779254,1752002.403782581,56516.20657363164,1121400.519908375,139803.2478400362,1656817.213763833,220115.7519183548,211192.1403540972,11898.1487523435,487824.0988460836,20821.76031660113,374791.6856988204,145752.3222162079,2290393.634826124,154675.9337804655,208217.6031660113,0.0,193344.9172255819,2819861.25430541,38668.98344511638,68414.35532597515,276631.9584919865,377766.2228869063
sample189,189917904.1219087,910263.3014155733,2284191.971989704,66102183.11967216,15667907.07561556,51202.310704626,824926.1169078633,5606653.022156548,3282637.030729912,756656.3693016954,4568383.943979409,139384.0680292597,71114.32042309166,5495714.682296525,0.0,2838883.67128982,910263.3014155733,295835.5729600613,1561670.476491093,1857506.049451154,711143.2042309167,978533.0490217413,989911.340289436,287301.8545092903,631495.165357054,0.0,341348.7380308401,79648.03887386266,1302814.350151039,14222.86408461833,1996890.117480414,290146.427326214,625806.0197232066,0.0,841993.5538094053,0.0,62580.60197232067,341348.7380308401,264545.271973901,1140673.699586391
sample190,167256867.7635484,17653286.75301318,1345151.271593236,71120861.37486665,21446554.98093337,40850.58091606357,259692.9786806898,14356061.29335948,1540650.480262969,1032936.117449036,4671555.717615554,49604.27682664862,81701.16183212714,916220.1719745685,0.0,323886.7486916468,1520225.189804937,248021.3841332431,3352665.533754074,177991.8168485627,615676.6123778152,566072.3355511666,1998760.566250253,373491.0255182955,350147.836423402,0.0,452274.2887135609,0.0,405587.910523774,32096.88500547852,1957909.98533419,233431.8909489347,399752.1132500506,0.0,233431.8909489347,0.0,102126.4522901589,110880.148200744,43768.47955292525,767407.3414946226
sample201,137016658.1504475,2224874.962201544,1531115.351126257,19375096.9686587,18767841.04973744,185117.9012096153,432518.4607701291,2856351.914925933,12164149.19069911,541513.1128842017,2366741.017334146,60552.58450781807,43251.84607701291,520752.2267672354,0.0,164357.0150926491,1823497.830606864,2138371.270047518,7605404.614181952,299302.7748529293,702409.9802906897,256050.9287759165,2081278.833225861,110724.725957153,193768.2704250179,0.0,230099.8211297087,31141.3291754493,916939.1368326739,342554.6209299422,1155689.327177785,60552.58450781807,349474.9163022643,0.0,129755.5382310387,27681.18148928826,181657.7535234542,133215.6859171998,69202.95372322066,342554.6209299422
sample202,142401328.8162226,2517897.89186802,2040598.751966715,15832031.79437812,18044612.82752385,90822.1035439731,1453153.65670357,17947993.56843452,16400153.0378234,2075381.685238875,5511162.538455559,61836.32581717319,63768.71099895985,1068609.005528024,0.0,888897.1836218644,1750740.974698716,519811.6139006121,3905350.452390844,409665.6585387723,374882.7252666124,705320.5913521318,2597125.684321274,170049.8959972263,685996.739534265,0.0,991313.5982565576,83092.56281682647,743968.2949878647,767156.9171693047,1111121.479527331,139131.7330886397,173914.6663607996,0.0,326573.0957219459,0.0,210629.9848147461,309181.6290858659,17391.46663607996,1134310.10170877
sample203,36104214.45755277,1265993.349236708,2055198.145622445,28916463.73957343,42491874.79574796,26125.40015621753,306973.4518355559,14751054.06320432,321124.710253507,268873.9099410721,8634444.751629889,57693.59201164703,45719.45027338067,33745.3085351143,0.0,228597.2513669034,371198.3938862573,140424.0258396692,1294295.86607261,77287.64212881017,2821543.216871493,278670.9349996536,696677.337499134,104501.6006248701,205737.526230213,0.0,107767.2756443973,51162.24197259265,729334.0876944057,250368.4181637513,2283795.396989349,74021.96710928298,343984.4353901974,0.0,116475.7423631365,1070052.848065076,784850.5630263682,74021.967109283,26125.40015621753,89261.78386707655
